tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
33677.0,WISEA J174612.29+385055.4,0.001256633958072822,266.87085,39.0,,,
35025.0,WISEA J180943.57+441048.3,0.001241062733001898,272.929288,44.0,,,
33396.0,WISEA J174712.53+380532.3,0.001235085905666732,267.23708,38.0,,,
33118.0,CGCG 200-019,0.0012175286217425373,275.950153,37.0,,,
34761.0,WISEA J175314.06+424712.8,0.0012082104791604836,267.889595,43.0,,,
28440.0,WISEA J180813.33+221936.5,0.0012027683019099733,271.987479,22.0,,,
31334.0,CGCG 172-028,0.0011927247261701935,275.530554,31.0,,,
32822.0,NGC 6447,0.0011815434842405636,266.934772,36.0,,,
35531.0,WISEA J180656.34+460841.4,0.0011725050695074535,271.95343,46.0,,,
30076.0,UGC 11194,0.0011684454809026714,274.172023,27.0,,,
27090.0,UGC 11128,0.0011631543538632087,272.149418,18.0,,,
31018.0,UGC 11047,0.001144691017970485,268.753705,30.0,,,
31935.0,WISEA J174957.29+324319.0,0.001131718030734672,266.915017,33.0,,,
34228.0,WISEA J175312.79+404037.5,0.00112602976791305,268.512347,41.0,,,
32828.0,UGC 11199,0.001122428452010717,274.351179,36.0,,,
31335.0,CGCG 172-033,0.0011164539608528041,276.697187,31.0,,,
30071.0,WISEA J175457.12+263230.5,0.0011164525501303976,268.560392,27.0,,,
32239.0,WISEA J180824.75+333938.1,0.001096577352335152,272.596055,34.0,,,
30702.0,CGCG 171-001,0.0010936184962391442,264.877531,29.0,,,
29094.0,CGCG 140-059,0.0010803459797171131,264.199888,24.0,,,
30386.0,CGCG 170-038,0.001077691009249972,264.833157,28.0,,,
33954.0,WISEA J174839.69+393913.9,0.0010687094957318177,266.9593,40.0,,,
28768.0,CGCG 141-025,0.0010554318234999695,268.157693,23.0,,,
28102.0,CGCG 141-029,0.0010542284879222691,268.838127,21.0,,,
29431.0,WISEA J182132.35+252023.2,0.001050594173794495,275.174085,25.0,,,
32529.0,CGCG 199-012,0.001049536197307003,265.915445,35.0,,,
34233.0,WISEA J182102.08+402639.2,0.0010455260938751437,275.137412,41.0,,,
32534.0,CGCG 200-003,0.0010386585383667195,272.019318,35.0,,,
30710.0,CGCG 172-021 NED01,0.0010371243563105593,274.024364,29.0,,,
30705.0,UGC 11021,0.0010355626630121713,268.307593,29.0,,,
34231.0,WISEA J181215.46+411222.6,0.0010308341115919546,272.487386,41.0,,,
34498.0,WISEA J175752.10+421254.8,0.001010340678261032,269.770509,42.0,,,
35024.0,WISEA J180811.16+435306.1,0.0009850487188041298,271.539124,44.0,,,
28773.0,WISEA J181412.21+224217.3,0.0009765031239929419,273.589495,23.0,,,
29751.0,UGC 11097,0.0009698203604302341,270.596637,26.0,,,
33115.0,WISEA J181111.93+365832.4,0.0009565676161959771,272.193746,37.0,,,
33400.0,WISEA J180859.55+381104.1,0.0009277644587062955,272.313153,38.0,,,
32235.0,WISEA J175045.96+333645.9,0.0009224129028019375,267.771183,34.0,,,
28770.0,WISEA J180132.26+223326.3,0.0009118446628521838,270.330414,23.0,,,
30395.0,CGCG 172-027,0.0009117578521255533,275.026287,28.0,,,
31941.0,WISEA J181636.91+332148.1,0.0009113866867501083,274.069197,33.0,,,
28100.0,NGC 6452,0.0009017751550168368,266.695837,21.0,,,
34503.0,CGCG 228-008,0.0008938950874605016,276.498672,42.0,,,
28103.0,ARK 535,0.0008743722751820936,269.909272,21.0,,,
28444.0,UGC 11234,0.0008613527073990839,276.301618,22.0,,,
33114.0,WISEA J180402.67+363009.6,0.0008577259060727305,270.94161,37.0,,,
31326.0,UGC 10976,0.0008551501504334885,266.197487,31.0,,,
27767.0,WISEA J180103.74+193517.0,0.0008469410860456115,270.216346,20.0,,,
34501.0,WISEA J181424.45+415612.0,0.0008363159917424298,273.807407,42.0,,,
33963.0,NGC 6663,0.0008325623767749753,278.707965,40.0,,,
31331.0,IC 1277,0.0008279525408301654,272.030654,31.0,,,
34499.0,CGCG 227-017,0.0008242473635487843,271.116141,42.0,,,
35530.0,WISEA J180024.93+453700.9,0.0008242225221444375,270.513874,46.0,,,
29099.0,CGCG 141-034,0.0008228659559830347,269.673069,24.0,,,
30069.0,UGC 10972,0.0008228438357963632,266.315739,27.0,,,
34502.0,WISEA J182130.16+421039.0,0.0007925336274326781,275.15304,42.0,,,
34229.0,WISEA J180150.76+404017.9,0.0007814169325416252,269.83736,41.0,,,
26751.0,WISEA J182137.98+171815.8,0.0007765232199584151,275.832147,17.0,,,
28104.0,WISEA J180508.37+205954.1,0.0007523024172033256,270.980417,21.0,,,
32823.0,CGCG 199-025,0.000749343325447778,268.17084,36.0,,,
32242.0,I Zw 206,0.0007484988546054042,276.214709,34.0,,,
33685.0,WISEA J182728.58+393152.8,0.00074691203474476,277.164926,39.0,,,
33676.0,4C +39.50,0.0007433201968504624,265.58409,39.0,,,
30389.0,UGC 11025,0.0007432357156965906,268.230867,28.0,,,
29422.0,WISEA J174027.61+252822.7,0.0007346155959911424,265.243684,25.0,,,
31642.0,UGC 11275,0.000727383440163578,278.16214,32.0,,,
