tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
3371.0,NGC 6504,0.04516423802921764,268.437721,33.935467,,,
3275.0,NGC 6575,0.044128056291356445,271.067733,30.83708,,,
3071.0,NGC 6623 NED02,0.04184834689953643,273.987692,24.640307,,,
3174.0,NGC 6518,0.04070603301038774,270.315353,27.738694,,,
3372.0,UGC 11167,0.030704892486498526,272.172216,33.935467,,,
3175.0,UGC 11194,0.020682082345642963,273.816041,27.738694,,,
3466.0,UGC 11199,0.019867557409391782,272.928631,37.033854,,,
3070.0,UGC 11097,0.017166316171982367,270.578912,24.640307,,,
3274.0,CGCG 171-031,0.015689958297944374,267.459203,30.83708,,,
3276.0,UGC 11171,0.014545384927347232,274.676264,30.83708,,,
3556.0,CGCG 227-023,0.013280615103235732,273.557951,40.13224,,,
3467.0,WISEA J182142.76+373717.0,0.003047474937936545,276.80996,37.033854,,,
3465.0,WISEA J180050.49+352233.4,0.0017431531823384702,269.047302,37.033854,,,
