Observation_Time,Tile_Index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:12:14,768,268.940757,47.113092,,,,0.0,1.474228000454987,239,50.76213249146786,47.246135625681774,0.03391945068814989,-6.568040405696807
2023-11-15 02:13:04,646,268.689714,26.546128,,,,12.371806305315998,1.6571819091824032,239,51.738668838765975,48.65818114359019,0.033942175020725995,-6.716573292028583
2023-11-15 02:13:54,732,277.55414,40.257437,,,,6.855129724135421,1.3497908150356246,239,54.75852833450467,51.42746524668425,0.033964906996385935,-6.8652349938693975
2023-11-15 02:14:44,731,268.570759,40.257437,,,,14.407977652964064,1.5272813039214466,239,56.354056293337266,53.65830773523979,0.03398764662479825,-7.014024795917529
2023-11-15 02:15:34,690,269.368102,33.401783,,,,6.854632677983752,1.5702656451688772,239,58.48533613040069,55.466780816476025,0.03401039389431948,-7.162941991729608
2023-11-15 02:16:24,599,274.822955,19.690474,,,,6.854632677983806,1.6020870477115,239,61.428715083771706,58.16033200363762,0.034033148812161795,-7.311985873805329
2023-11-15 02:17:14,647,276.353304,26.546128,,,,14.820225196184396,1.477620368124198,239,63.03750473373272,60.41335795022672,0.03405591137854036,-7.461155739909999
2023-11-15 02:18:04,691,277.580132,33.401783,,,,6.853873418078428,1.3990408492470805,239,65.07951649044207,62.13840654311491,0.03407868158711669,-7.610450893006165
2023-11-15 02:18:54,550,278.278684,12.834819,,,,6.853874252258005,1.6400261043204116,239,67.95591700593808,64.76121450947745,0.034101459443778626,-7.759870636527903
2023-11-15 02:19:44,689,261.156073,33.401783,,,,9.939700568349732,1.872869470906426,239,71.28799469850702,68.4723641401758,0.03412424494822819,-7.909414278962522
2023-11-15 02:20:34,598,267.541531,19.690474,,,,6.852718282703317,1.904957404874177,239,74.01055889052033,70.9284270238788,0.03414703809637665,-8.059081133220992
2023-11-16 02:12:14,645,261.026124,26.546128,,,,9.25143241101916,1.9874411786335573,241,75.5956922663138,75.15741613853052,0.08438539122484423,2.3371143978564834
