tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
9170.0,WISEA J172713.10+185011.0,0.0025452191366621114,261.269444,19.119201,,,
10126.0,WISEA J181617.32+273151.4,0.002085192033534691,274.13235,27.779455,,,
11923.0,WISEA J180645.27+472554.4,0.0017866900031472182,272.425081,46.832014,,,
10488.0,WISEA J183249.43+312718.4,0.001559448024655197,278.338486,31.243557,,,
9567.0,WISEA J184142.44+224654.4,0.0013522863750020037,279.7415,22.583302,,,
8377.0,WISEA J175527.33+124945.9,0.001212574713273605,269.735634,12.190998,,,
11785.0,WISEA J190205.09+450617.9,0.0011068870230983485,286.339969,45.099963,,,
10663.0,CGCG 173-014,0.0010655383739627282,278.088877,32.975607,,,
9177.0,WISEA J181721.46+194255.4,0.0010340847759892802,274.101634,19.119201,,,
11783.0,WISEA J184543.26+441240.3,0.0010218638982913218,281.43242,45.099963,,,
10828.0,WISEA J173259.36+351613.7,0.0010046197187574977,263.730557,34.707658,,,
10833.0,WISEA J182049.93+335311.1,0.0009751213021549063,274.265276,34.707658,,,
8979.0,WISEA J180339.39+162818.4,0.0009537386706863099,271.089419,17.38715,,,
11639.0,WISEA J191912.23+434600.0,0.0009307409742332609,290.254604,43.367912,,,
9368.0,WISEA J175241.57+211422.8,0.0009052723638334036,268.358344,20.851252,,,
8976.0,WISEA J174418.07+171105.2,0.0008365099404501277,265.644473,17.38715,,,
8580.0,WISEA J180832.48+135827.0,0.0008219856390805149,272.372784,13.923048,,,
9172.0,WISEA J174245.17+194822.2,0.0007912742858515216,264.935784,19.119201,,,
10660.0,2MFGC 14239,0.0007232872570356883,271.894887,32.975607,,,
10656.0,B2 1736+32,0.0007050016822527807,263.636235,32.975607,,,
8977.0,2MFGC 14097,0.0006840363193328593,267.459455,17.38715,,,
11924.0,WISEA J182408.84+464017.2,0.0006778632609917726,274.956802,46.832014,,,
11333.0,WISEA J193448.84+390745.3,0.0006749179623925119,293.331631,39.903811,,,
10309.0,WISEA J182641.63+293631.4,0.000634957470180168,277.019635,29.511506,,,
10310.0,WISEA J183345.49+293130.4,0.0006230420662630306,279.009911,29.511506,,,
10479.0,WISEA J172210.25+304508.1,0.0006069513255822141,260.105737,31.243557,,,
9937.0,WISEA J174806.22+254804.2,0.0006061377058948334,267.146963,26.047404,,,
8575.0,WISEA J173607.90+141218.5,0.0005992821227545761,263.450388,13.923048,,,
10658.0,WISEA J175210.57+333916.3,0.0005970068215523843,267.765561,32.975607,,,
8381.0,WISEA J182425.56+112546.6,0.000586955883884997,276.823679,12.190998,,,
10657.0,WISEA J174140.57+323852.3,0.0005819332923964241,265.700898,32.975607,,,
9370.0,WISEA J180742.26+213024.0,0.0005743657939723589,272.065217,20.851252,,,
11791.0,WISEA J200406.25+441550.8,0.0005742051022588267,301.062616,45.099963,,,
9565.0,WISEA J182326.50+231329.1,0.000573656734109613,275.98972,22.583302,,,
11004.0,WISEA J185026.90+355838.6,0.000558991238267153,281.797615,36.439709,,,
10307.0,WISEA J181351.17+295123.5,0.0005528084874723819,273.039084,29.511506,,,
9369.0,WISEA J180051.84+205029.0,0.000530545719911285,270.21178,20.851252,,,
11163.0,WISEA J180011.05+371739.9,0.0005138621420764774,270.02272,38.17176,,,
11167.0,WISEA J183733.65+373813.9,0.0005082802630343144,278.835416,38.17176,,,
12060.0,WISEA J174950.31+480431.6,0.0005059809264095282,268.354789,48.564065,,,
9374.0,WISEA J183747.01+201556.5,0.0005038359608244432,279.478964,20.851252,,,
8578.0,WISEA J175350.77+140253.9,0.0004992281297762544,268.803826,13.923048,,,
10997.0,WISEA J174750.57+371529.3,0.0004963469467812629,266.726612,36.439709,,,
11630.0,WISEA J175532.41+430709.6,0.0004667670031124258,268.811236,43.367912,,,
10129.0,WISEA J183917.92+281216.7,0.0004643146646227836,280.00538,27.779455,,,
12059.0,CGCG 253-024,0.00045147052127320276,265.737536,48.564065,,,
11327.0,WISEA J184259.94+404121.5,0.0004498570507434695,279.784505,39.903811,,,
9566.0,WISEA J183220.31+222012.1,0.0004443086407865055,277.86561,22.583302,,,
9563.0,WISEA J180808.38+222126.0,0.00043774808978722655,272.23794,22.583302,,,
10995.0,WISEA J173027.60+364518.1,0.0004354504261513168,262.420612,36.439709,,,
8174.0,WISEA J180249.17+105256.0,0.00043508635923619114,271.234045,10.458947,,,
11484.0,WISEA J184703.13+415113.3,0.0004272271350468738,282.255168,41.635861,,,
10487.0,UGC 11232,0.0004270417588094145,276.312625,31.243557,,,
11170.0,CGCG 201-045,0.0004263524253348116,285.444938,38.17176,,,
8780.0,CGCG 113-013 NED01,0.0004158427281194582,270.424115,15.655099,,,
11318.0,2MFGC 13797,0.0004151037566670718,259.463817,39.903811,,,
10119.0,WISEA J172354.65+271710.0,0.00040817876927238156,260.428614,27.779455,,,
10993.0,WISEA J171623.47+361525.6,0.00040660237901212474,258.114611,36.439709,,,
9178.0,WISEA J182410.82+184608.7,0.0003939085140862889,275.934804,19.119201,,,
11486.0,CGCG 229-019,0.00039015440365780605,286.890147,41.635861,,,
12199.0,WISEA J184254.98+503946.7,0.00037809498465218226,280.854589,50.296115,,,
12326.0,WISEA J181125.91+523519.1,0.0003751205453081382,273.796593,52.028166,,,
11324.0,2MFGC 14231,0.00037480992041256353,273.010942,39.903811,,,
8785.0,WISEA J183625.57+161647.4,0.00036243842779946266,279.418011,15.655099,,,
9752.0,WISEA J180609.87+233847.7,0.00035481742663986114,270.829955,24.315353,,,
9373.0,WISEA J183244.40+212655.3,0.00035206803833791697,277.625527,20.851252,,,
9939.0,WISEA J180425.31+251205.0,0.00034817843188013407,271.002686,26.047404,,,
8779.0,2MFGC 14125,0.00034256839260104875,268.625336,15.655099,,,
9938.0,WISEA J175715.71+264237.6,0.0003416994822733093,269.074824,26.047404,,,
10661.0,WISEA J181218.67+334516.9,0.0003390380166616707,273.95955,32.975607,,,
8581.0,WISEA J181555.27+133832.0,0.0003387117742014038,274.157263,13.923048,,,
11483.0,WISEA J184015.32+421648.9,0.0003383309286374913,279.937678,41.635861,,,
11169.0,CGCG 201-042,0.00033634702636275423,283.241764,38.17176,,,
11485.0,MCG +07-39-006,0.00032814433029854936,284.572657,41.635861,,,
10662.0,WISEA J182045.91+334520.3,0.00032802371838385077,276.024214,32.975607,,,
12196.0,NGC 6582 NED02,0.00032765141896430903,272.720603,50.296115,,,
11479.0,WISEA J175952.98+405620.5,0.0003269179207893659,270.667721,41.635861,,,
11632.0,WISEA J181028.55+434341.3,0.00032490761567600463,273.576429,43.367912,,,
12325.0,UGC 11102,0.00032037413554318747,270.981505,52.028166,,,
9757.0,WISEA J184145.84+232856.6,0.0003179825513462197,280.333215,24.315353,,,
9749.0,WISEA J174314.48+234913.1,0.0003172782367454282,265.127999,24.315353,,,
11005.0,WISEA J185909.51+363733.1,0.00030180256473840897,283.950616,36.439709,,,
9745.0,WISEA J171313.93+245508.2,0.00029857794734206494,257.525391,24.315353,,,
8777.0,WISEA J173833.43+160734.2,0.0002970700702306758,265.027777,15.655099,,,
9560.0,2MFGC 14046,0.0002966323823145795,266.61027,22.583302,,,
11786.0,CGCG 256-016,0.00029497744122492344,288.793744,45.099963,,,
11476.0,WISEA J173251.68+404907.6,0.0002941533025109048,263.715252,41.635861,,,
10834.0,WISEA J182321.60+342147.3,0.0002927059575705028,276.372219,34.707658,,,
11928.0,CGCG 255-022,0.0002913868749329533,285.083686,46.832014,,,
10303.0,WISEA J173822.68+293553.4,0.0002896561363434501,265.077982,29.511506,,,
11787.0,WISEA J192228.99+442026.8,0.0002896189105111267,291.247518,45.099963,,,
11480.0,WISEA J181532.86+415337.6,0.0002868449738815099,272.98521,41.635861,,,
10490.0,UGC 11358,0.0002857635060534868,282.390208,31.243557,,,
9751.0,WISEA J175648.93+241359.1,0.0002852276328495185,268.929303,24.315353,,,
11638.0,CGCG 229-023,0.00028372274924425966,287.872008,43.367912,,,
11925.0,WISEA J182947.93+471106.7,0.000283286917773799,277.488523,46.832014,,,
9746.0,WISEA J172124.27+245357.5,0.0002827416216067757,259.426043,24.315353,,,
12328.0,MCG +09-30-022,0.0002802443216535052,279.42677,52.028166,,,
11330.0,CGCG 229-014,0.0002782157950852475,286.558068,39.903811,,,
9748.0,WISEA J173434.68+235853.3,0.0002771974970994976,263.227347,24.315353,,,
10998.0,MCG +06-39-029,0.0002744769686166868,268.879613,36.439709,,,
12198.0,WISEA J182912.05+495801.3,0.0002734555067652607,278.14326,50.296115,,,
11784.0,WISEA J185335.87+442451.5,0.00027321080562454935,283.886194,45.099963,,,
11636.0,WISEA J184827.67+433736.5,0.0002717523389388354,283.106815,43.367912,,,
11321.0,WISEA J174728.25+394921.4,0.0002702805454357793,266.237379,39.903811,,,
10123.0,WISEA J175127.11+275351.9,0.0002701832918683805,268.25932,27.779455,,,
10994.0,WISEA J172323.20+363010.2,0.00026981401640026505,260.267611,36.439709,,,
11326.0,WISEA J183158.24+392049.1,0.0002695244232278417,277.526651,39.903811,,,
9371.0,WISEA J181341.91+205419.6,0.0002681359215775573,273.918654,20.851252,,,
11487.0,WISEA J191334.48+420132.6,0.0002674392151946506,289.207636,41.635861,,,
12061.0,WISEA J180506.99+474056.5,0.0002672888646284294,270.972041,48.564065,,,
8784.0,WISEA J183156.03+151152.2,0.00026290674314131035,277.619232,15.655099,,,
9562.0,WISEA J180314.59+225624.3,0.0002615780119894298,270.36205,22.583302,,,
10127.0,WISEA J182445.52+272506.1,0.0002602820622674056,276.090027,27.779455,,,
11482.0,WISEA J182734.97+413830.7,0.0002588400984460201,277.620189,41.635861,,,
9367.0,WISEA J174849.80+211535.2,0.0002586155299789181,266.504907,20.851252,,,
10664.0,WISEA J183846.82+325116.3,0.00025630461328329194,280.15354,32.975607,,,
11631.0,WISEA J180220.72+424146.5,0.00025415746694720657,271.193832,43.367912,,,
11642.0,WISEA J194827.60+425825.4,0.00025349964493558803,297.402394,43.367912,,,
11932.0,WISEA J193748.33+460227.7,0.0002510046162101921,295.21057,46.832014,,,
11628.0,WISEA J173215.28+425358.2,0.00024900453399570284,264.046043,43.367912,,,
12066.0,WISEA J185729.90+481602.4,0.00024773570721902587,284.058301,48.564065,,,
11779.0,CGCG 227-019,0.0002475750315085514,271.617322,45.099963,,,
9568.0,WISEA J184422.64+231919.3,0.00024726014970616013,281.61739,22.583302,,,
11633.0,WISEA J182655.78+424904.2,0.0002467242986641928,275.959025,43.367912,,,
11634.0,WISEA J183613.82+433606.2,0.0002440985561001981,278.341622,43.367912,,,
9747.0,UGC 10828 NED01,0.00024331040868405307,261.326695,24.315353,,,
9557.0,WISEA J172448.33+214842.4,0.0002426108010766899,260.9826,22.583302,,,
9750.0,WISEA J174804.62+234358.2,0.0002417416296733549,267.028651,24.315353,,,
8783.0,WISEA J182032.20+162507.4,0.0002409733401677132,275.820452,15.655099,,,
9561.0,WISEA J175608.48+225707.5,0.00023786898175878903,268.48616,22.583302,,,
8378.0,WISEA J180338.97+120132.8,0.0002377224236136744,271.507646,12.190998,,,
9754.0,WISEA J181748.89+235511.1,0.00023602110231835005,274.631259,24.315353,,,
11331.0,WISEA J191316.48+405116.1,0.00023553351077534534,288.815922,39.903811,,,
8975.0,WISEA J173506.11+180409.1,0.0002342486054860437,263.829491,17.38715,,,
11320.0,WISEA J173931.75+392934.4,0.00023395173093613953,263.979525,39.903811,,,
8576.0,WISEA J173731.74+141908.9,0.0002337500246364988,265.234867,13.923048,,,
10483.0,WISEA J174942.29+314245.3,0.00023350658472915274,268.209181,31.243557,,,
10837.0,WISEA J184637.21+340118.1,0.00023345031266813307,282.69305,34.707658,,,
10124.0,WISEA J175722.87+271638.2,0.0002329410176511228,270.216997,27.779455,,,
11003.0,WISEA J183649.27+355350.7,0.0002313687438562212,279.644615,36.439709,,,
11002.0,WISEA J182705.98+371121.2,0.00023096762313868654,277.491615,36.439709,,,
9176.0,WISEA J180701.69+192611.1,0.0002305277599577071,272.268464,19.119201,,,
10829.0,WISEA J174221.15+350258.3,0.00023051258876944467,265.837501,34.707658,,,
11329.0,WISEA J185659.50+402946.5,0.00023019580626951113,284.300214,39.903811,,,
9375.0,WISEA J184443.92+202533.4,0.00022887492737160272,281.332401,20.851252,,,
9363.0,WISEA J171710.12+201834.7,0.00022720258245043063,259.09116,20.851252,,,
8983.0,WISEA J183531.77+173828.0,0.0002263902742983777,278.349348,17.38715,,,
11000.0,WISEA J181311.81+360306.9,0.00022637600653639835,273.185614,36.439709,,,
11161.0,UGC 10969,0.00022607422295678744,265.616372,38.17176,,,
9935.0,WISEA J173511.86+251529.5,0.00022485397317220977,263.291239,26.047404,,,
10478.0,WISEA J171204.07+301420.1,0.00022433522567754744,258.079876,31.243557,,,
10308.0,WISEA J182341.78+292545.3,0.00022368637256812223,275.02936,29.511506,,,
11168.0,WISEA J184226.56+385009.6,0.00022362372874108974,281.03859,38.17176,,,
10835.0,WISEA J183704.36+350103.3,0.00022288744649818511,278.479163,34.707658,,,
10122.0,WISEA J174524.24+283544.7,0.00022178767202405577,266.301644,27.779455,,,
9362.0,WISEA J171146.63+210821.2,0.00022104061655514864,257.237723,20.851252,,,
11162.0,WISEA J175529.00+374250.1,0.0002207731430883666,267.819546,38.17176,,,
9942.0,WISEA J182555.61+260056.0,0.00022001687915536766,276.786271,26.047404,,,
8582.0,WISEA J182142.80+135635.4,0.0002177613339529239,275.941743,13.923048,,,
8778.0,WISEA J175051.42+154811.2,0.0002165107022888561,266.826556,15.655099,,,
8981.0,WISEA J182145.38+180420.9,0.00021644370373754586,274.719384,17.38715,,,
11328.0,WISEA J185055.57+392351.5,0.00021507152452686584,282.04236,39.903811,,,
11481.0,WISEA J181813.37+420726.4,0.00021445311424350704,275.302699,41.635861,,,
11158.0,IC 1245,0.00021381333703307013,259.00685,38.17176,,,
8782.0,WISEA J181505.81+145717.4,0.0002132169055254224,274.021673,15.655099,,,
11165.0,2MFGC 14351,0.00021173793478308325,274.429068,38.17176,,,
8579.0,WISEA J180138.83+135347.4,0.00021035364324752185,270.588305,13.923048,,,
