Observation_Time,Tile_Index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 03:52:29,34507,281.881203,42.0,,,,0.9999981356398651,1.8259259851487148,11652,51.68890918970185,52.06297033094187,0.036708011696431786,-25.185526893751035
2023-11-15 03:57:32,33410,285.003335,38.0,,,,3.999880270833829,1.8193352622642052,11652,53.551684379679635,53.896456415110734,0.036851405038700824,-26.154775532869728
2023-11-15 04:02:35,34242,287.062529,41.0,,,,0.9999981356398651,1.7510490138973651,11652,54.05723385079113,54.38040661161607,0.03699507835824983,-27.126293409976032
2023-11-15 04:07:38,36723,280.118835,51.0,,,,7.105806858854648,1.888072761276791,11652,51.75495724505842,52.10372685532254,0.03713903161388443,-28.099992866911627
2023-11-15 04:12:41,34240,284.412503,41.0,,,,0.9999981666512484,1.9359699860805435,11652,52.15480059768133,52.48640680674978,0.03728326475938226,-29.075788169737944
2023-11-15 04:17:44,35038,291.001415,44.0,,,,2.999943833052827,1.7130059472673569,11652,53.459019287838004,53.75676697353484,0.037427777751491254,-30.053595380189467
2023-11-15 04:22:47,34511,287.263734,42.0,,,,1.9999829730552634,1.9058930906527969,11652,54.41149419668788,54.6784189375535,0.037572570544983086,-31.0333322288992
2023-11-15 04:27:50,35293,290.590742,45.0,,,,1.9999839002158366,1.791061265524008,11652,55.426386770428905,55.65933122215868,0.03771764309585568,-32.01491798419216
2023-11-15 04:32:53,35787,285.163483,47.0,,,,0.9999981666512484,1.9968925158311337,11652,55.95618028273381,56.161852695167525,0.03786299535896681,-32.998273319442745
2023-11-15 04:37:56,35542,287.788552,46.0,,,,5.570552136771685,1.9622529726153548,11330,54.73614897914308,54.375983699679416,0.0380086272879554,-33.983320176086494
2023-11-15 04:42:59,34782,296.603472,43.0,,,,1.9999810078254225,1.745180469631603,11330,55.62349951886555,55.26564107972706,0.03815453884304104,-34.96998161999595
2023-11-15 04:48:02,35547,294.986335,46.0,,,,0.9999982861279676,1.799818308450004,11330,56.09136331155793,55.725480000192775,0.038300729973404446,-35.958181699041404
2023-11-15 04:53:05,35042,296.562069,44.0,,,,0.9999973656294163,1.8149677752027147,11330,56.574819975674075,56.19930154622636,0.03844720064056367,-36.9478452831916
2023-11-15 04:58:08,33979,299.594482,40.0,,,,0.9999973656294163,1.8099518655978168,11330,57.07347109912312,56.68675131074567,0.03859395078541633,-37.938897911572816
2023-11-15 05:03:11,34520,299.374429,42.0,,,,10.609583819363454,1.832870333714264,11330,53.56276771186628,53.112859813856794,0.03874098037335827,-38.931265609436885
2023-11-15 05:08:14,35301,301.90445,45.0,,,,1.9999802743257244,1.7537621969502646,11330,54.24602874391504,53.79378279605433,0.03888828935841826,-39.924874715653374
2023-11-15 05:13:17,34519,298.028796,42.0,,,,1.9999793608077503,1.9802987227893882,11330,55.002025049042935,54.54432409372416,0.03903587768578015,-40.91965168697953
2023-11-15 05:18:20,34523,303.411327,42.0,,,,5.999456263753403,1.8243063268101822,11330,57.67629667641746,57.21762819904449,0.039183745310696294,-41.915522882751596
2023-11-15 05:23:23,34253,301.637672,41.0,,,,9.024661024687287,1.9547895963054691,11330,54.833485042009215,54.35290032276332,0.03933189219236288,-42.91241433842792
2023-11-15 05:28:26,34786,302.072782,43.0,,,,3.314894624822283,1.9513170593605094,11330,54.81873134328778,54.335458361051465,0.03948031827939824,-43.910251520557104
2023-11-16 02:20:50,32527,263.473896,35.0,,,,1.9999759496980516,1.8046965568777191,11021,54.10445253679272,54.099291917047715,0.0847524387229131,0.9448408382793916
2023-11-16 02:25:53,26746,270.603688,17.0,,,,0.9999970341051178,1.9408750426457955,11021,54.18141498488931,54.171937141350924,0.08496832436431623,0.11799974387145591
2023-11-16 02:30:56,31933,264.53029,33.0,,,,0.9999970341051178,1.8975809693146917,11021,54.27935531145986,54.26355031606801,0.08518447026507064,-0.7154512939962598
2023-11-16 02:35:59,29748,267.258831,26.0,,,,3.9998068870064674,1.9872534439715857,11021,54.87827497391738,54.8347177121305,0.08540087634201371,-1.5553082872177275
2023-11-16 02:41:02,32235,267.771183,34.0,,,,5.881321166133048,1.8502647888600297,11021,55.11421642951645,55.10933334772555,0.08561754248340037,-2.401373025926749
2023-11-16 02:46:05,28440,271.987479,22.0,,,,5.999287112314989,1.9831059328310718,11021,55.90382611732676,55.84840793610143,0.08583446858466709,-3.2534529479660144
2023-11-16 02:51:08,28775,275.762216,23.0,,,,3.9997890549406265,1.8457698781618654,11021,56.834123488229466,56.73659110251453,0.08605165453858726,-4.111361012470674
2023-11-16 02:56:11,28444,276.301618,22.0,,,,11.282202114049895,1.899640614549809,11021,56.041221970126394,56.0512731296717,0.08626910024891549,-4.9749155668736735
2023-11-16 03:01:14,31022,273.372508,30.0,,,,4.999550905463295,1.9050403740424384,11022,56.375069059449366,56.46488958588873,0.08648680560433658,-5.8439402187690845
2023-11-16 03:06:17,33113,269.689475,37.0,,,,3.999770059949642,1.9752145848048048,11022,57.038580121411194,57.157416066865224,0.08670477050031739,-6.718263698095358
2023-11-16 03:11:20,36017,267.324562,48.0,,,,0.9999963668103102,1.920796963903398,11022,57.25474270234661,57.37326180835057,0.08692299482872623,-7.597719724103067
2023-11-16 03:16:23,34762,269.256922,43.0,,,,3.022274078825765,1.9816288194017206,11022,57.67452512056422,57.766640979700234,0.08714147848860665,-8.48214686818743
2023-11-16 03:21:26,31642,278.16214,32.0,,,,1.9999686788568656,1.8761810852348675,11022,58.04855572504095,58.14554937001831,0.08736022137216398,-9.371388421159848
2023-11-16 03:26:29,30399,279.556567,28.0,,,,4.65600569802753,1.9552670696325343,11022,58.30662129294271,58.37716178125293,0.08757922336971874,-10.265292257565486
2023-11-16 03:31:32,37160,273.400372,53.0,,,,1.999966083195885,1.8236730258601002,11022,58.57371723596013,58.64815354741636,0.08779848438171933,-11.163710699417072
2023-11-16 03:36:35,33405,278.658244,38.0,,,,0.999995302834517,1.8982438564655222,11022,58.737890519221175,58.81008559249454,0.08801800429718437,-12.066500386928245
2023-11-16 03:41:38,35779,273.43325,47.0,,,,1.0071893972857264,1.9924851695825843,11022,59.70226691131368,59.76876778238408,0.08823778301075552,-12.973522143493476
2023-11-16 03:46:41,34506,280.53557,42.0,,,,0.9999959341681516,1.8569018452853399,11022,59.88246461199962,59.944149849808035,0.08845782041457012,-13.884640846578192
2023-11-16 03:51:44,33124,283.462967,37.0,,,,3.9997060865824823,1.8760067009230457,11022,60.80167725241005,60.854340886515146,0.08867811640710993,-14.799725297086505
2023-11-16 03:56:47,33125,284.715103,37.0,,,,4.833865592864117,1.8764723442235356,11022,60.729253420943635,60.780593079648355,0.08889867087284808,-15.718648095548188
2023-11-16 04:01:50,34239,283.08749,41.0,,,,0.9999955499334038,1.9198620568849192,11022,60.91268711118953,60.95639966146044,0.08911948370885558,-16.641285511682167
2023-11-16 04:06:53,34775,287.032179,43.0,,,,1.9999605121560884,1.7934638587183138,11022,61.33948599031608,61.370214428729085,0.08934055480046926,-17.56751736478716
2023-11-16 04:11:56,35540,284.909439,46.0,,,,0.9999947018978174,1.8665009741025609,11022,61.58243206617266,61.60097005690996,0.08956188404671411,-18.497226896990558
2023-11-16 04:16:59,34509,284.572469,42.0,,,,14.498893892336596,1.9950617494654663,11022,61.04959847351824,61.13759907113576,0.08978347133728504,-19.43030065705652
2023-11-16 04:22:02,34512,288.609367,42.0,,,,0.9999952401478444,1.8852100351502197,11022,61.014461159124224,61.101407050183155,0.09000531656843191,-20.36662837881492
2023-11-16 04:27:05,34243,288.387542,41.0,,,,5.998841966033784,1.9608361509173895,11022,61.24421911820392,61.2919123710195,0.09022741961847652,-21.3061028688069
2023-11-16 04:32:08,33974,293.067445,40.0,,,,1.999957520395136,1.845728592028864,11022,61.4875662300022,61.51732243188194,0.09044978039104307,-22.24861988300082
2023-11-16 04:37:11,34778,291.134162,43.0,,,,1.9999566817783743,1.9163993285503595,11022,61.81292082731551,61.82108724499283,0.09067239877519473,-23.19407802038448
2023-11-16 04:42:14,35294,292.004955,45.0,,,,0.9999952401478444,1.8985470578972734,11023,61.82212193723877,61.998927646443065,0.0908952746533917,-24.1423786091414
2023-11-16 04:47:17,34515,292.646265,42.0,,,,0.99999440149093,1.9745662402087691,11023,62.01616480302699,62.194996233397454,0.09111840792541565,-25.093425591166312
2023-11-16 04:52:20,35040,293.781742,44.0,,,,1.999957520395136,1.9431149545494613,11023,62.46398912605591,62.649931855276755,0.09134179847503576,-26.047125418242445
2023-11-16 04:57:23,34517,295.337531,42.0,,,,12.242269499674714,1.9678216302683775,11023,62.0016887773114,62.0977544107123,0.09156544619934648,-27.00338693749343
2023-11-16 05:02:26,34251,298.987646,41.0,,,,3.9996304293881186,1.891455846375851,11023,62.136227428980014,62.25859161020586,0.09178935097785534,-27.96212128873959
2023-11-16 05:07:29,35297,296.247596,45.0,,,,0.9999942679730437,1.9770042331543678,11023,62.22227967892465,62.34841274213367,0.09201351270786584,-28.923241789924873
2023-11-16 05:12:32,34783,297.970799,43.0,,,,0.9999942679730437,1.9963111045113273,11023,62.329155524426476,62.457135376239535,0.09223793127552726,-29.886663834640483
2023-11-16 05:17:35,35550,299.305004,46.0,,,,0.9999942679730437,1.9390892704248162,11023,62.456746929096944,62.58465938009155,0.09246260657342648,-30.85230478086596
2023-11-16 05:22:38,34522,302.065694,42.0,,,,4.999277046834852,1.9511517912846341,11023,63.400294571928114,63.5329816536156,0.09268753847912664,-31.82008384637611
2023-11-17 02:20:05,28101,267.766982,21.0,,,,15.479922518403033,1.9464866737969402,11035,65.34656898176863,65.38973134120751,0.15635833145343403,10.355058950307468
2023-11-17 02:25:08,25708,272.064926,14.0,,,,7.996808242037869,1.9952650596855934,11035,63.52234490591703,63.58308154484218,0.15664337151635493,9.633353168585886
2023-11-17 02:30:11,24659,276.056139,11.0,,,,4.999221619533533,1.953654430457919,11035,63.04430057364453,63.10762482573417,0.15692863366143867,8.901941362646866
2023-11-17 02:35:14,31934,265.722654,33.0,,,,5.167680501100493,1.9346154218235025,11035,64.52639021295504,64.59452739347039,0.157214117724496,8.161104864623004
2023-11-17 02:40:17,27776,279.793946,20.0,,,,2.9998191121124766,1.6901648700673406,11035,64.17466577056048,64.24033218628112,0.15749982355845488,7.411118578652514
2023-11-17 02:45:20,33111,267.185203,37.0,,,,1.9999464314416129,1.9013241221351542,11035,64.0450722379313,64.10552941050572,0.15778575098401326,6.6522509490407975
2023-11-17 02:50:23,36015,264.335609,48.0,,,,2.9998191121124766,1.876978773754199,11035,64.00930742055573,64.05661239036638,0.15807189984006909,5.884763962730068
2023-11-17 02:55:26,28446,278.458687,22.0,,,,16.738383990110723,1.8413242194591357,11035,67.57482490675567,67.69635326114143,0.15835826997527191,5.108913162710361
2023-11-17 03:00:29,31335,276.697187,31.0,,,,3.9995380191169527,1.7856367642934727,11035,66.44295785101906,66.55509281104848,0.15864486120734622,4.324947674063852
2023-11-17 03:05:32,32535,273.240093,35.0,,,,1.9999428810808861,1.897967287739851,11035,65.99552260033624,66.10296074966854,0.15893167338790798,3.53311025959605
2023-11-17 03:10:35,33958,272.180929,40.0,,,,5.998441677765146,1.9005755516709566,11035,65.14619571429058,65.2147902805908,0.15921870635000862,2.7336373730225776
2023-11-17 03:15:38,30082,280.90598,27.0,,,,0.9999922668854402,1.8432393827099405,11035,65.07801551707762,65.138675343321,0.15950595992017813,1.9267592331001717
2023-11-17 03:20:41,31641,276.982961,32.0,,,,2.999805373843487,1.961291072307276,11036,65.00399326562156,65.03248105587485,0.159793433944865,1.11269991027417
2023-11-17 03:25:44,36491,272.98797,50.0,,,,0.9999930655039277,1.8568867951182964,11036,65.00159860619142,65.03575535141496,0.16008112825474136,0.2916774140479135
2023-11-17 03:30:47,36941,271.532532,52.0,,,,0.9999930655039277,1.9172104725434587,11036,65.02049119850936,65.05845917399775,0.16036904268540936,-0.5360962038017002
2023-11-17 03:35:50,31340,282.530354,31.0,,,,7.885371346677123,1.9052937279757418,11036,66.43745672123765,66.41803609809674,0.1606571770646384,-1.370414743726454
2023-11-17 03:40:53,35782,277.832087,47.0,,,,0.9999920827784206,1.8623230076345532,11036,66.3118011231017,66.30055352570658,0.16094553124480465,-2.211077740763945
2023-11-17 03:45:56,36722,278.52982,51.0,,,,1.9999376738711563,1.8299429762289696,11036,66.12388988942308,66.12390828174006,0.16123410504128682,-3.0578903552402905
2023-11-17 03:50:59,34241,285.737516,41.0,,,,0.9999928707708354,1.763568391208903,11036,66.06181768001416,66.06548908964142,0.16152289830187372,-3.9106632407616146
2023-11-17 03:56:02,36494,277.655142,50.0,,,,0.9999920827784206,1.9543500444812272,11036,66.02108943251937,66.0265868950698,0.16181191084420876,-4.769212427864523
2023-11-17 04:01:05,35288,283.519674,45.0,,,,1.9999376738711563,1.8691017869949909,11036,66.0038043368856,66.0114237523743,0.16210114252996738,-5.633359185350341
2023-11-17 04:06:08,35032,282.660433,44.0,,,,0.9999920827784206,1.96441716751911,11036,66.02726457425872,66.03211939949146,0.16239059316852306,-6.502929904373988
2023-11-17 04:11:11,36028,283.763804,48.0,,,,3.9995040449502843,1.9043231312392812,11036,66.33433952889675,66.33543388614223,0.16268026260396573,-7.3777559545821685
2023-11-17 04:16:14,33969,286.540409,40.0,,,,2.9997910432711974,1.9852430927546862,11036,66.78615640036135,66.77688276838026,0.16297015066688897,-8.257673558976448
2023-11-17 04:21:17,36265,283.219143,49.0,,,,0.9999920827784206,1.9990757572981195,11036,66.9782633481329,66.95633310987087,0.16326025719149395,-9.142523658841629
2023-11-17 04:26:20,35292,289.176528,45.0,,,,1.9999384618084954,1.892558883348225,11036,67.42367540092728,67.38506355844108,0.16355058200707773,-10.032151782371713
2023-11-17 04:31:23,35790,289.562321,47.0,,,,19.056063321481627,1.8933721805343267,11036,67.60588755723532,67.61742956710724,0.16384112495315922,-10.926407910114843
2023-11-17 04:36:26,34514,291.300632,42.0,,,,0.9999912369581584,1.9588229596277724,11036,67.4559310240821,67.46678032981112,0.1641318858581972,-11.825146346244376
2023-11-17 04:41:29,34516,293.991898,42.0,,,,1.9999333058351008,1.9028226070363268,11036,67.21943564231401,67.22257617821877,0.1644228645589137,-12.728225584831808
2023-11-17 04:46:32,35545,292.107222,46.0,,,,0.99999201408445,1.9546642576132096,11036,67.133124660391,67.13100197824141,0.16471406088444152,-13.635508182091428
2023-11-17 04:51:35,34781,295.236144,43.0,,,,0.9999912369581584,1.9350504060288194,11036,67.06822353580738,67.05900987530565,0.1650054746666439,-14.546860626084543
2023-11-17 04:56:38,34518,296.683163,42.0,,,,0.99999201408445,1.9456207634966294,11036,67.02479557116997,67.00666449528744,0.1652971057318094,-15.462153210391065
2023-11-17 05:01:41,34250,297.662633,41.0,,,,0.9999912369581584,1.9760368775081039,11036,67.00288339573724,66.97401327243497,0.16558895392639972,-16.3812599040885
2023-11-17 05:06:44,34784,299.338127,43.0,,,,1.999934082903621,1.9230140303404106,11037,67.00390881768033,66.97244422240749,0.16588101907322989,-17.304058233557246
2023-11-17 05:11:47,34521,300.720061,42.0,,,,0.9999912369581584,1.9358305263657676,11037,67.02765139168532,66.999880879361,0.16617330100047428,-18.230429154872038
2023-11-17 05:16:50,34785,300.705454,43.0,,,,1.9999333058351008,1.9686276165652203,11037,67.1396310915509,67.12107486346191,0.1664657995458128,-19.16025693135356
2023-11-18 02:19:20,28103,269.909272,21.0,,,,2.9997754562815793,1.885318923112068,11693,65.16985574968831,65.51265379308929,0.2459123997158713,19.717722692504594
2023-11-18 02:24:23,33107,262.176661,37.0,,,,0.999992014085179,1.9319459132680774,11693,65.0941075704237,65.43733270584669,0.24625346373352952,19.12804704971957
2023-11-18 02:29:26,27434,275.942445,19.0,,,,0.9999912369581584,1.7864200020002443,11693,65.04053118013898,65.38223026961478,0.2465946963630239,18.524538299809198
2023-11-18 02:34:29,28441,273.066014,22.0,,,,2.9997754562815793,1.8895643507277189,11693,65.01327569678942,65.35899313746384,0.24693609738514966,17.90756206225934
2023-11-18 02:39:32,26409,278.720607,16.0,,,,30.55427800983217,1.8455841626604885,11693,75.10791432366742,75.3242597545708,0.2472776665927311,17.277479713564897
2023-11-18 02:44:35,28111,278.478431,21.0,,,,5.998067972499332,1.7926071510608277,11693,71.91709388759365,72.17094383170732,0.24761940377104602,16.634647904185183
2023-11-18 02:49:38,31024,275.681909,30.0,,,,3.9994276851576274,1.776240277095605,11693,70.12901092918196,70.40531842249293,0.24796130871342403,15.979418134031832
2023-11-18 02:54:41,28112,279.549576,21.0,,,,1.9999280563106125,1.8514194591258846,11693,69.34516101817732,69.63332963742616,0.24830338120966494,15.312136376444192
2023-11-18 02:59:44,32239,272.596055,34.0,,,,2.999758753538576,1.9248058274778332,11693,68.31453994598645,68.61165700765046,0.24864562104220028,14.633142752546997
2023-11-18 03:04:47,34229,269.83736,41.0,,,,1.9999288222727345,1.957440018097482,11693,67.72776099226813,68.02831832605035,0.248988028002943,13.942771254236927
2023-11-18 03:09:50,35025,272.929288,44.0,,,,0.9999908415530088,1.8399897113927735,11693,67.46529572681386,67.7668357850386,0.2493306018806274,13.241349507635732
2023-11-18 03:14:53,29109,280.619432,24.0,,,,0.9999908415530088,1.957977290819939,11693,67.22378317583666,67.52442864765266,0.24967334246529693,12.529198579166609
2023-11-18 03:19:56,32242,276.214709,34.0,,,,1.9999288222727345,1.988482580187431,11693,66.80452738436458,67.09887262473524,0.25001624954088203,11.806632818270572
2023-11-18 03:24:59,34501,273.807407,42.0,,,,0.9999908415530088,1.983223527890088,11693,66.62719530675957,66.9158004884903,0.25035932289709323,11.073959737506145
2023-11-18 03:30:02,33686,278.451686,39.0,,,,0.9999916075769911,1.9017037440647966,11693,66.4716359605593,66.75256763326394,0.25070256232488963,10.33147992309665
2023-11-18 03:35:05,34503,276.498672,42.0,,,,0.9999908415530088,1.9764761421797994,11693,66.3380063304346,66.60932440531103,0.25104596760946307,9.579486974765997
2023-11-18 03:40:08,35029,278.489942,44.0,,,,0.9999908415530088,1.912394526077329,11693,66.22644210118611,66.4862037017913,0.2513895385380869,8.818267474571853
2023-11-18 03:45:11,34769,278.828215,43.0,,,,0.9999908415530088,1.9657159714487786,11693,66.13705749093167,66.38332089457525,0.25173327489853026,8.04810097910053
2023-11-18 03:50:14,36495,279.210866,50.0,,,,0.9999916075769911,1.885630090291519,11694,66.12574130296142,66.30077313473961,0.2520771764804094,7.269260034321792
2023-11-18 03:55:17,33966,282.624187,40.0,,,,0.9999908415530088,1.9706728239315365,11694,66.06192429155017,66.23863913260963,0.25242124306625785,6.48201020917526
2023-11-18 04:00:20,35287,282.10546,45.0,,,,1.9999288222727345,1.9500436022164478,11694,66.00138166937491,66.18515641017046,0.25276547444741204,5.68661015009037
2023-11-18 04:05:23,36496,280.76659,50.0,,,,0.9999908415530088,1.9619041964693573,11694,66.00471900014459,66.18544127209037,0.25310987040865357,4.883311647589434
2023-11-18 04:10:26,36027,282.269328,48.0,,,,27.482053152121686,1.9874683412460843,11694,74.66876568317198,74.68956079225129,0.25345443073220236,4.072359719363511
2023-11-18 04:15:29,36029,285.258281,48.0,,,,4.998800307187523,1.924141719162611,11694,72.16976959269682,72.22577057027137,0.25379915521617913,3.2539927076206423
2023-11-18 04:20:32,36267,286.26765,49.0,,,,5.997926288287878,1.9176867856732736,11694,69.76652285009413,69.85480750344345,0.2541440436412651,2.4284423804654685
2023-11-18 04:25:35,36031,288.247234,48.0,,,,1.9999232725628802,1.9079368152355023,11694,69.12146524410564,69.22036852414526,0.25448909578647005,1.5959340491023508
2023-11-18 04:30:38,35543,289.228109,46.0,,,,1.9999232725628802,1.950302840215033,11694,68.55843609836941,68.66447474672698,0.2548343114495982,0.7566866935047746
2023-11-18 04:35:41,35792,292.494879,47.0,,,,0.9999904136289275,1.863536486153788,11694,68.30834663291193,68.41676177706776,0.25517969040884747,-0.08908691271878338
2023-11-18 04:40:44,34248,295.012607,41.0,,,,0.9999904136289275,1.9111830282624391,11694,68.07953048719652,68.188527111634,0.2555252324599301,-0.9411800619012293
2023-11-18 04:45:47,33976,295.67826,40.0,,,,0.9999904136289275,1.9532903790169966,11694,67.87220880323477,67.97997311653266,0.2558709373710046,-1.7993919780900143
2023-11-18 04:50:50,34249,296.33762,41.0,,,,0.9999904136289275,1.9592155156693798,11694,67.6865844966527,67.79128712956957,0.25621680494290433,-2.663527665156769
2023-11-18 04:55:53,35548,296.425891,46.0,,,,0.9999904136289275,1.9176572181760407,11694,67.52284133327574,67.62264068506438,0.2565628349538514,-3.5333977671012096
2023-11-18 05:00:56,34252,300.312659,41.0,,,,0.9999904136289275,1.9016708168922265,11694,67.38114307590446,67.47418878749323,0.25690902719628783,-4.408818414059011
2023-11-18 05:05:59,35044,299.342396,44.0,,,,0.9999904136289275,1.9362514917956044,11694,67.26163271031623,67.34606924460732,0.2572553814480866,-5.289611075326008
2023-11-19 02:18:35,33948,259.126856,40.0,,,,0.9999904136289275,1.9820820540042352,12692,66.298556159446,66.30866174369919,0.34909913523486913,28.6911542236726
2023-11-19 02:23:38,29101,271.862342,24.0,,,,0.9999904136289275,1.8233058339588095,12692,65.98808803404194,65.99766054017991,0.3494792273946078,28.270231699691237
2023-11-19 02:28:41,29427,270.760574,25.0,,,,0.9999904136289275,1.9011858558234942,12692,65.69916934729515,65.70643964459232,0.34985942298250944,27.83021786617541
2023-11-19 02:33:44,30072,269.682718,27.0,,,,0.9999904136289275,1.9611742039867583,12692,65.43209436328556,65.43527168389036,0.3502397217547909,27.37152954412561
2023-11-19 02:38:47,31942,275.26156,33.0,,,,0.9999904136289275,1.686415553208239,12692,65.18713966749579,65.18441486711578,0.35062012347115823,26.89458904744152
2023-11-19 02:43:50,36018,268.819039,48.0,,,,0.9999904136289275,1.7483877490102273,12692,64.96456287663887,64.95411188765955,0.3510006278835909,26.399822755423333
2023-11-19 02:48:53,32830,276.823315,36.0,,,,0.9999904136289275,1.6784316544281452,12692,64.76460140322007,64.74458886102046,0.35138123474756905,25.887659760588544
2023-11-19 02:53:56,36020,271.807992,48.0,,,,23.749931550308574,1.7353949619161477,12692,75.96457138199237,76.03268475585642,0.3517619438161942,25.358530592771302
2023-11-19 02:58:59,28778,279.021297,23.0,,,,1.999917329198484,1.9176666175556174,12692,74.71116459746378,74.7834908410498,0.3521427548486165,24.81286602641141
2023-11-19 03:04:02,36019,270.313516,48.0,,,,0.9999899105824575,1.8574410852506364,12692,74.10739144631236,74.18578428202846,0.3525236675960888,24.25109596921074
2023-11-19 03:09:05,31645,281.699675,32.0,,,,0.9999899105824575,1.7383993511770728,12692,73.51944273093154,73.60241401367973,0.35290468181474943,23.673648439165394
2023-11-19 03:14:08,31946,280.031013,33.0,,,,0.9999891674604559,1.8284513461918155,12692,72.94772440318039,73.0337448136494,0.353285797258451,23.08094862438228
2023-11-19 03:19:11,31644,280.520497,32.0,,,,0.9999899105824575,1.877473407713054,12692,72.39264216391102,72.48014194937087,0.3536670136839811,22.47341802878297
2023-11-19 03:24:14,34767,276.09356,43.0,,,,1.999917329198484,1.90636292829671,12693,71.75292840104551,71.41300135337433,0.35404833084043597,21.85147369881795
2023-11-19 03:29:17,32247,282.245798,34.0,,,,0.9999899105824575,1.8723797053437725,12693,71.23574710196368,70.90756240409011,0.35442974849136116,21.21552753459253
2023-11-19 03:34:20,33688,281.025205,39.0,,,,0.9999899105824575,1.8817338757845266,12693,70.73649673449911,70.41867078661603,0.35481126638247834,20.565985672245187
2023-11-19 03:39:23,33689,282.311964,39.0,,,,0.9999899105824575,1.880862664243671,12693,70.25557799375997,69.94669009638744,0.3551928842716523,19.903247948082612
2023-11-19 03:44:26,35783,279.298367,47.0,,,,0.9999891674604559,1.9103188515818088,12693,69.79338775999933,69.49198118314044,0.3555746019169864,19.22770742862639
2023-11-19 03:49:29,33409,283.734317,38.0,,,,0.9999899105824575,1.943332196242549,12693,69.3503165569929,69.05489981891056,0.35595641906504905,18.539750007247132
2023-11-19 03:54:32,34773,284.297525,43.0,,,,0.9999899105824575,1.8833867785026956,12693,68.92674938111178,68.63579771590013,0.3563383354732086,17.83975406810026
2023-11-19 03:59:35,35784,280.764646,47.0,,,,0.9999899105824575,1.9969602732819955,12693,68.52306303634732,68.23502008328524,0.3567203508942848,17.128090203930558
2023-11-19 04:04:38,34777,289.766834,43.0,,,,0.9999891674604559,1.782234173836379,12693,68.13962544775575,67.8529051504917,0.35710246508541205,16.405120991222233
2023-11-19 04:09:41,35291,287.762315,45.0,,,,0.9999899105824575,1.8648518474140627,12693,67.77679319281842,67.48978191407488,0.35748467779711085,15.6712008134833
