tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
117587,271.4432,36.466913,0.02105705844093219,2324006227824.43,48936734956.3894
115932,272.043236,34.879462,0.044215388997716445,1001878760337.0461,44298459116.852425
117039,271.695679,35.937762,0.04351574778769379,953902971435.7366,41509801118.92919
114245,272.55247,33.292011,0.02318780954133232,1468536946419.345,34052155017.981518
114810,271.536462,33.821161,0.025684839233058126,1187768733026.696,30507648953.843826
115931,271.398212,34.879462,0.02065586941748574,1289079310761.89,26627053911.88012
114812,272.810327,33.821161,0.01475746945225695,1784364585439.361,26332705861.310505
118672,271.893865,37.525213,0.020135468259052387,1258400132691.7192,25338475929.001427
115933,272.688261,34.879462,0.028085162455439874,892101249405.78,25054808516.262215
115374,272.812643,34.350312,0.02164039770055308,1081547396054.5999,23405115782.619133
118671,271.22666,37.525213,0.007948059623512279,2839186687077.7847,22566025071.176533
114244,271.919427,33.292011,0.016428671861711562,1262033707812.9673,20733537664.078407
117040,272.34923,35.937762,0.04168656834830639,466665344457.1444,19453676777.498695
118133,272.784719,36.996063,0.019933010042197823,947179982763.3997,18880148108.191605
116488,272.17834,35.408612,0.030822077863340413,607619825841.2201,18728105583.38743
117588,272.101183,36.466913,0.02679425421464057,632354906459.6963,16943478117.55636
115375,273.453569,34.350312,0.007401132685031356,2210992588721.667,16363849514.75002
115373,272.171717,34.350312,0.03329565153912721,480193239063.17566,15988346759.292305
117041,273.00278,35.937762,0.01360194277127691,1144366728107.4895,15565610745.071474
116487,271.529108,35.408612,0.027479336592316495,557110885871.6199,15309037552.109861
117586,270.785217,36.466913,0.0053020118059170646,2851270138927.1543,15117467938.450562
118673,272.561069,37.525213,0.016907060872136108,861877605155.456,14571817134.694185
117589,272.759167,36.466913,0.02129934916696178,615768073904.7238,13115459211.964237
115934,273.333285,34.879462,0.007529288597754993,1466611179082.0486,11042538828.002476
114246,273.185513,33.292011,0.009745326674472992,1102278085183.0542,10742060026.22143
117590,273.41715,36.466913,0.007306830848217421,1380725302165.203,10088726230.775024
117038,271.042129,35.937762,0.012406748024462257,742369636862.3319,9210393025.5625
113674,271.596853,32.762861,0.010791134115515771,801853827438.8652,8652912192.932434
116490,273.476803,35.408612,0.008225715276918814,959453569182.8405,7892191881.521573
118132,272.122185,36.996063,0.025937446188938756,286088237084.9175,7420398254.6784
116489,272.827572,35.408612,0.025158010233606462,286420419652.2031,7205767848.723984
113675,272.226107,32.762861,0.018762541011852887,377114597524.6249,7075628102.22417
114813,273.44726,33.821161,0.007496215993869888,938635289282.2423,7036212867.928234
118131,271.459652,36.996063,0.01988084063647556,286088237084.9175,5687674649.455482
113104,273.245571,32.233711,0.005234379419321207,844825967325.9045,4422139656.278845
119743,272.642627,38.583514,0.0048730460834893775,897834985473.3197,4375191259.5805025
119742,271.965705,38.583514,0.007878200274862177,548684910370.38824,4322649611.692721
113102,271.994447,32.233711,0.012509510714963333,344580758456.1005,4310536690.076781
112525,271.649821,31.70456,0.005921917845165515,723523806179.8467,4284648539.2185097
116486,270.879877,35.408612,0.00885270366357525,447440858006.77606,3961061322.9098396
119209,271.575778,38.054363,0.006578324402703967,508339159998.5763,3344019901.0686707
119210,272.247778,38.054363,0.011198731055250094,271712697161.98578,3042837419.8136945
118134,273.447253,36.996063,0.004839039425787278,561219920452.2,2715765321.6053953
114809,270.899529,33.821161,0.005866076525580386,462220066125.8233,2711418279.552906
112526,272.271788,31.70456,0.008345379390596212,322461444299.4231,2691063091.518294
113673,270.9676,32.762861,0.004441578317268584,567854409664.6763,2522169833.331978
111947,272.590152,31.17541,0.004200181341403481,557592441841.5358,2341989370.3304243
115930,270.753187,34.879462,0.006289125118342194,361881088356.00415,2275915442.6327567
114811,272.173395,33.821161,0.03323202681680226,67916138334.64306,2256990930.4305105
113676,272.85536,32.762861,0.01004865368160945,205744296745.10983,2067453184.9578953
114243,271.286385,33.292011,0.009943586420558738,204279827946.71396,2031274123.1650202
113101,271.368885,32.233711,0.005729387806176621,295683527364.6601,1694085596.1703749
119211,272.919777,38.054363,0.005752604851333882,263383288169.7653,1515139981.2856615
115372,271.530792,34.350312,0.022347766744321963,67266953571.08384,1503266188.007717
113103,272.620009,32.233711,0.00759421507581568,189834354716.0019,1441642918.492003
115371,270.889866,34.350312,0.005636502328811859,242345884682.05493,1365983143.3883727
118674,273.228274,37.525213,0.005193100007788189,241876307472.21973,1256087854.2177627
119741,271.288782,38.583514,0.004043898988911959,232523833590.3522,940302895.5539579
118130,270.797118,36.996063,0.0049772525499112985,166239809209.94025,827417514.2869428
112527,272.893755,31.70456,0.005779227546905678,139510411493.7278,806262413.1846983
