tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
10662,276.024214,32.975607,0.008338150855150724,23070726965992.797,192367201780.4417
10487,276.312625,31.243557,0.004914631432216936,21116037842921.668,103777543306.70514
10124,270.216997,27.779455,0.013101138928788471,19317235589763.0,253077787181.62216
10834,276.372219,34.707658,0.0056106456134005205,18728988551654.3,105081717460.76778
10127,276.090027,27.779455,0.0054668641436603225,18609314547008.36,101734594435.13643
10122,266.301644,27.779455,0.004169691935227846,18298737053507.598,76300096316.86559
9942,276.786271,26.047404,0.004486126589373578,18082668450034.05,81121139740.52446
10306,271.048809,29.511506,0.021657146264033738,17383680414475.213,376480909343.5083
10309,277.019635,29.511506,0.0028990943539868095,16276818370405.318,47188032238.51084
9755,276.531911,24.315353,0.0035557397287612267,16216861695972.842,57662939408.1968
11480,272.98521,41.635861,0.01840798058675878,15930144576359.137,293241792105.8797
9562,270.36205,22.583302,0.004422737957781536,15915297085297.139,70389188528.5135
10483,268.209181,31.243557,0.013641001888194362,15590798078084.37,212674106021.6059
9563,272.23794,22.583302,0.005956572387612396,15363543627776.814,91514059749.09377
9751,268.929303,24.315353,0.004738649968754182,15234616308068.764,72191514092.212
9754,274.631259,24.315353,0.006741463120941162,15141049005833.268,102072823485.18782
9750,267.028651,24.315353,0.0032722007278937963,14995274869501.818,49067549342.9514
10307,273.039084,29.511506,0.01971941892644482,14748711374883.055,290836018226.5409
9938,269.074824,26.047404,0.006136154339193407,14601464212464.977,89596837985.89421
10308,275.02936,29.511506,0.00935565100992644,14544102616467.256,136069548332.22565
10833,274.265276,34.707658,0.019413235980359895,14272718921628.5,277079660506.9219
11478,268.350231,41.635861,0.005052732553293836,14144372608514.78,71467731924.96028
9370,272.065217,20.851252,0.003038322438573658,13228777726312.03,40193292200.757256
9937,267.146963,26.047404,0.0036952176961049803,12898290390615.23,47661990900.90222
11163,270.02272,38.17176,0.028094616313788373,12783798066874.004,359155901721.77466
11631,271.193832,43.367912,0.010383949484073455,12767452070925.273,132576577344.81706
10123,268.25932,27.779455,0.008367571550568918,12678364036481.479,106087118219.41853
11324,273.010942,39.903811,0.025054238389575923,12574754049667.256,315050885650.6487
10999,271.032613,36.439709,0.03432835795400642,12488017939778.516,428693149972.7707
11633,275.959025,43.367912,0.0032004663437772743,12353209978209.21,39536032772.87218
10661,273.95955,32.975607,0.023308760211533254,12074070238271.195,281431607961.0735
10657,265.700898,32.975607,0.0037676260002774535,12043343706901.602,45374814880.40032
9939,271.002686,26.047404,0.00926378018405725,11969244253568.037,110880447734.34468
10486,274.286764,31.243557,0.01485344488278925,11940596937088.293,177358998472.6431
9941,274.858409,26.047404,0.00971468990760768,11929819445046.895,115894496562.37892
9561,268.48616,22.583302,0.0031152697536323925,11886096462171.35,37028396797.35939
9565,275.98972,22.583302,0.002656517713364213,11803024998239.576,31354944979.104042
11322,268.495234,39.903811,0.008812594981869976,11139382975994.29,98166870515.3751
9371,273.918654,20.851252,0.003860371921889198,11133076847507.234,42977817266.35163
11162,267.819546,38.17176,0.009887404700911508,11111117401486.887,109860114427.84111
9372,275.772091,20.851252,0.0028767362271158985,11009230665906.523,31670652689.28858
10126,274.13235,27.779455,0.013026731811582799,10960259748469.547,142776364328.59872
10484,270.235042,31.243557,0.02256462390457282,10829925868548.104,244373204138.19208
10829,265.837501,34.707658,0.004564574160630221,10778884390749.156,49201017170.43402
11000,273.185614,36.439709,0.030674244024941406,10200458749271.514,312891360841.503
10304,267.068258,29.511506,0.0068669732602535255,10032347018862.8,68891858716.11502
11479,270.667721,41.635861,0.016828963985082428,9851107045009.834,165783925673.66226
11161,265.616372,38.17176,0.0027870728172723434,9797467947713.162,27306256595.168407
10658,267.765561,32.975607,0.010265692945461412,9664366790888.553,99211421987.57616
11002,277.491615,36.439709,0.003414327075277767,9634228123807.254,32894405932.51763
11481,275.302699,41.635861,0.008471824184597326,9601440624604.287,81341716890.49786
9752,270.829955,24.315353,0.006814901519666361,9414085758435.39,64156067341.43079
9753,272.730607,24.315353,0.008425284789296928,9199536977915.43,77508718968.6055
11326,277.526651,39.903811,0.002897283918052014,9138140574272.541,26475787726.738426
10305,269.058533,29.511506,0.012887827736439487,8976979035606.684,115693759404.52762
11323,270.753088,39.903811,0.02352531231880078,8807871201878.83,207207920887.97067
10485,272.260903,31.243557,0.02652549522286282,8725613573042.551,231451221148.28717
10125,272.174674,27.779455,0.01650876987305392,8260002993314.383,136362488567.3637
10998,268.879613,36.439709,0.017885123121127996,8124735631730.778,145311897100.1206
11630,268.811236,43.367912,0.005217960149228876,8099150924762.746,42261046768.002205
9564,274.11383,22.583302,0.0046693694479499614,8096444780604.491,37805291895.56854
11001,275.338614,36.439709,0.012638581313696723,7858210530533.664,99316632770.29758
10997,266.726612,36.439709,0.005255660567749908,7829431336308.027,41148833542.13957
10660,271.894887,32.975607,0.032188029679373786,7746554419306.61,249346323561.52533
11632,273.576429,43.367912,0.009586487393667612,7662687552284.995,73458257621.59384
9940,272.930548,26.047404,0.011731763270490093,7503227361670.922,88026087171.7872
10303,265.077982,29.511506,0.003482281263737741,7063354390637.201,24596586653.655636
10482,266.18332,31.243557,0.005634220306720341,6745245560678.828,38004199511.791885
11779,271.617322,45.099963,0.005805273196866222,6696647291909.596,38875867032.58955
11325,275.268797,39.903811,0.010891624369407181,6596327254899.94,71844718678.05296
11165,274.429068,38.17176,0.01708017657270931,6417319313780.949,109608947002.83635
10832,272.158332,34.707658,0.03620766053843374,6269052832074.897,226987736841.27454
