Observation_Time,Tile_Index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 03:36:24,11482,277.620189,41.635861,0.0041934955027239,10447319647522.352,43810787957.40449,1.7320373484757745,1.8394090109336618,3909,52.813546479903025,53.31798344450755,0.036253196181814884,-22.11481499328406
2023-11-15 03:38:44,11002,277.491615,36.439709,0.0045442531560108,9634228123807.254,43780371557.339325,1.7320373484757745,1.9578609662553306,3909,53.40985782923334,53.91150749348365,0.03631900358904999,-22.558707612350943
2023-11-15 03:41:04,11167,278.835416,38.17176,0.0025694154166055,16418131290264.006,42184999649.05764,1.7320373484757745,1.8936457705020047,3909,54.06204601219462,54.55879619306892,0.03638487079788261,-23.003158372480076
2023-11-15 03:43:24,11326,277.526651,39.903811,0.0042906664516513,9138140574272.54,39208713192.505005,1.7320373484757745,1.938144529271886,3909,54.76810531706692,55.25794814962501,0.03645079781248539,-23.448157746242458
2023-11-15 03:45:44,11003,279.644615,36.439709,0.0018856166321116,17009721998367.184,32073814707.716587,1.7320373484757745,1.9406873073396715,3909,55.525970349027105,56.00700832961269,0.036516784618432496,-23.893696322948138
2023-11-15 03:48:04,11327,279.784505,39.903811,0.001997301170637,15939500452153.92,31835982912.45619,1.7320373484757745,1.8949298737728428,3909,56.33353912380589,56.80398885164694,0.03658283122105588,-24.33976479593883
2023-11-15 03:50:24,11781,276.524871,45.099963,0.0037161666205667,8113975340481.573,30152884320.39897,1.7320373484757745,1.9537279138945398,3909,57.18869413164383,57.64688797532448,0.03664893761638255,-24.786353967624724
2023-11-15 03:52:44,11782,278.978645,45.099963,0.0019113304268697,14987622997218.248,28646299861.035538,13.778957739416875,1.8846069194247224,3909,53.491227268358784,53.9785940409884,0.036715103790491144,-25.23345474698988
2023-11-15 03:55:04,12063,276.206545,48.564065,0.0017976247878966,12873758865758.844,23142188050.492893,1.7320353243217974,1.9505065232096526,3909,53.96297342125239,54.445338107354516,0.03678132974712445,-25.681058139777125
2023-11-15 03:57:24,11783,281.43242,45.099963,0.0011020227011427,17888550220911.652,19713588433.97752,1.732034425915155,1.840142889888033,3909,54.49409931534944,54.96936991935712,0.03684761547746224,-26.12915525374386
2023-11-15 03:59:44,11925,277.488523,46.832014,0.0017921946124662,10875367245944.729,19490774586.774323,1.7320353243215867,1.9758853009812103,3909,55.08287941130735,55.5490581131251,0.03691396097964944,-26.577737290981222
2023-11-15 04:02:04,11483,279.937678,41.635861,0.0020282843210513,7176445050650.173,14555870977.120129,1.7320353243217974,1.9988302184458804,3909,55.72747671721658,56.18266820177152,0.036980366253339,-27.026795546656814
2023-11-15 04:04:24,11328,282.04236,39.903811,0.0009763598624517,14443817850721.21,14102364010.00825,1.732034425915155,1.968808501946599,3909,56.42596770037064,56.86838516892098,0.03704683128607478,-27.47632141000251
2023-11-15 04:06:44,12064,278.823797,48.564065,0.0010024953541887,12593673357933.82,12625099033.499266,1.7320353243217974,1.961525300861869,3909,57.176366804892375,57.604335771259905,0.03711335607980104,-27.926306354708682
2023-11-15 04:09:04,11927,282.551965,46.832014,0.0006758483909526,17690953461353.61,11956402431.273851,1.7320353243215867,1.8770911555932706,3909,57.976646183557385,58.38860627706386,0.03717994062763946,-28.37674194233902
2023-11-15 04:11:24,11784,283.886194,45.099963,0.0007155433360067,15659746545896.396,11205227284.470518,1.732034425915155,1.876294457440147,3909,58.8247568226562,59.219261781183576,0.03724658492593014,-28.827619816550662
2023-11-15 04:13:44,11636,283.106815,43.367912,0.0008095143319364,7483932124628.373,6058350314.125957,12.89627330943387,1.95557981383082,3909,55.41561465367525,55.88587407453103,0.0373132889716038,-29.278931701070974
2023-11-16 02:14:24,10122,266.301644,27.779455,0.0053406233750243,18298737053507.6,97726662841.38638,1.7320319245622828,1.7628604955147444,3731,55.44616704517428,55.81911289033909,0.08447779324922672,1.9882700645979383
2023-11-16 02:16:44,10123,268.25932,27.779455,0.0076149030848048,12678364036481.48,96544513411.68192,1.7320328092822417,1.7145132849835378,3731,55.52905601671888,55.91988336055859,0.08457735674341044,1.6111313557092999
2023-11-16 02:19:04,10998,268.879613,36.439709,0.0116802795782252,8124735631730.778,94899183677.7838,1.7320328092822417,1.6025582643509937,3731,55.675238442606535,56.08175314255288,0.08467697584977629,1.2324994727409901
2023-11-16 02:21:24,11162,267.819546,38.17176,0.0084225891383036,11111117401486.889,93584376740.17996,1.7320319245622828,1.6303894783418427,3731,55.88421476960057,56.304191160038364,0.08477665054571981,0.8523957562991131
2023-11-16 02:23:44,10126,274.13235,27.779455,0.0083972690831576,10960259748469.549,92036250329.20049,1.7320328092822417,1.5871008397050883,3731,56.155280253962935,56.586478281529104,0.08487638082823135,0.47084127455990815
2023-11-16 02:26:04,9938,269.074824,26.047404,0.0062441284305851,14601464212464.977,91173417817.22452,1.7320328092822417,1.8000355700244755,3731,56.48753589900026,56.92771790848621,0.08497616668802377,0.08785682133261463
2023-11-16 02:28:24,11322,268.495234,39.903811,0.0081049858248161,11139382975994.29,90284541117.63254,1.7320319245622828,1.6432366640540192,3731,56.879902978211,57.32684981397695,0.08507600810882854,-0.2965370816591289
2023-11-16 02:30:44,9939,271.002686,26.047404,0.0073755125448703,11969244253568.035,88279311144.80829,13.20490716195863,1.771288650137754,3731,57.17839354764393,57.53511700178195,0.08517590508056666,-0.6823201801373773
2023-11-16 02:33:04,9563,272.23794,22.583302,0.0055619519127787,15363543627776.814,85451290867.57327,1.7320300724348625,1.814092952821375,3731,57.15884321519812,57.529716209113445,0.08527585760356354,-1.0694724840030545
2023-11-16 02:35:24,9754,274.631259,24.315353,0.0054974560922688,15141049005833.268,83237252100.4589,1.732029202210097,1.7140085566260572,3731,57.202707349276096,57.585666498396,0.08537586565195093,-1.4579742709509977
2023-11-16 02:37:44,10658,267.765561,32.975607,0.0085331992065864,9664366790888.553,82467967032.17107,1.7320300724348625,1.8364994462892539,3731,57.30983945834665,57.702787395184814,0.08547592922340869,-1.8478060754963186
2023-11-16 02:40:04,9751,268.929303,24.315353,0.0054120098791343,15234616308068.764,82449893964.08897,1.7320292022098864,1.9986423856108535,3731,57.47988341712507,57.88070412622956,0.08557604831493265,-2.238948690375564
2023-11-16 02:42:24,9941,274.858409,26.047404,0.0069112166317866,11929819445046.896,82449566562.82018,1.7320300724348625,1.7373765703934818,3731,57.71227972425255,58.118853969005556,0.08567622290331356,-2.6313831672646324
2023-11-16 02:44:44,10305,269.058533,29.511506,0.0090193477505738,8976979035606.684,80966495671.74776,1.7320292022098864,1.9233949926393166,3731,58.00627383536722,58.416494219527145,0.08577645298429665,-3.025090807353593
2023-11-16 02:47:04,10125,272.174674,27.779455,0.0096632889285799,8260002993314.383,79818795475.33177,1.7320300724348625,1.8518639534093275,3731,58.360928964353775,58.77271433936165,0.08587673854947109,-3.4200531625795327
2023-11-16 02:49:24,10831,270.051388,34.707658,0.0144139833649341,4952276509803.713,71382031230.86467,14.649202579783324,1.8309213152569823,3731,59.04967405829981,59.412376486229995,0.08597707958560885,-3.8162520329917213
2023-11-16 02:51:44,10659,269.830224,32.975607,0.0125285221580892,5243445997157.702,65692629360.13481,1.7320265138721957,1.8942600077874767,3731,58.93908582908128,59.31129058154303,0.08607747607984689,-4.213669463080171
