Observation_Time,Tile_Index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:11:56,3372,272.172216,33.935467,0.0464406071524851,26025074268038.945,1208620250196.246,0.0,1.4754702873051615,1263,43.21481360398419,44.30055346091778,0.0339112718039602,-6.514600237414296
2023-11-15 02:12:28,3466,272.928631,37.033854,0.0442444283327517,28036602082539.65,1240463431534.8037,3.098369578562193,1.4410727869056916,1263,44.86927874680983,45.90462961165817,0.03392581273355333,-6.6096165872567685
2023-11-15 02:13:00,3275,271.067733,30.83708,0.0396595775095576,39261194975706.0,1557082405256.868,7.58526633115706,1.5359281156020916,1263,44.18262973440946,45.34250388494923,0.03394035679200408,-6.7046859114516355
2023-11-15 02:13:32,3465,269.047302,37.033854,0.039211434479619,33223281381299.54,1302732521080.775,3.098358990881506,1.5326337955327278,1263,45.55945285999311,46.67584215409279,0.033954903987770235,-6.799808020168942
2023-11-15 02:14:04,3556,273.557951,40.13224,0.0373116340622118,31706399974847.56,1183017593291.6355,3.0983580265589987,1.4207291919189313,1263,47.10446439156663,48.17426136314121,0.033969454312574754,-6.894982728338062
2023-11-15 02:14:36,3555,269.505435,40.13224,0.0360456664024772,31850589539288.1,1148075725255.4092,3.098358026558881,1.5062792116200057,1263,48.80161440737794,49.82277692761646,0.03398400776925564,-6.990209848721841
2023-11-15 02:15:08,3642,274.376685,43.230627,0.0305581537850205,31374422231870.17,958744419477.6578,12.187642183257605,1.3997720621639058,1263,46.07013818719152,47.2718545857225,0.03399856435978593,-7.085489194880923
2023-11-15 02:15:40,3373,275.906711,33.935467,0.028832288328023,66630282674252.05,1921103521441.711,3.0983451559922335,1.416579472549204,1263,47.236366976697816,48.40046160828735,0.03401312408115237,-7.180820582289612
2023-11-15 02:16:12,3174,270.315353,27.738694,0.028490808985856,42383863010251.81,1207550545107.775,3.098344207394972,1.6147737291503563,1263,48.582987717930905,49.70542316633445,0.03402768693404601,-7.276203826023743
2023-11-15 02:16:44,3371,268.437721,33.935467,0.0280850161051223,23093506960902.098,648581514920.6898,3.0983451559922335,1.597583278748232,1263,50.09539801231093,51.173182303860074,0.034042252919019855,-7.371638741829076
2023-11-15 02:17:16,3276,274.676264,30.83708,0.0275289054489376,52234836927004.42,1437967886904.1838,3.098344207394972,1.4749595619381006,1263,51.75900033317786,52.790084125057504,0.03405682203764754,-7.4671251457858
