tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
117039,271.695679,35.937762,0.0020089548261421823,953902971435.7366,1916347978.1371913
114810,271.536462,33.821161,0.0018743721694346217,1187768733026.696,2226320656.90986
118672,271.893865,37.525213,0.0017261038652960064,1258400132691.7192,2172129333.128184
118131,271.459652,36.996063,0.001714639657569762,286088237084.9175,490538236.87001985
117040,272.34923,35.937762,0.0017095008219192292,466665344457.1444,797764789.9107085
118673,272.561069,37.525213,0.0016863297477371158,861877605155.456,1453409844.4820697
115932,272.043236,34.879462,0.0016857550059583963,1001878760337.0461,1688922135.601568
119742,271.965705,38.583514,0.0016805803314463555,548684910370.38824,922109068.5298809
118133,272.784719,36.996063,0.0016707773014736815,947179982763.3997,1582526815.611321
119741,271.288782,38.583514,0.001643473710003302,232523833590.3522,382146807.45492655
113100,270.743322,32.233711,0.0016221439792839742,734892319349.6233,1192101151.255027
114811,272.173395,33.821161,0.0016180828263202404,67916138334.64306,109893937.06927566
118130,270.797118,36.996063,0.0016112042219463866,166239809209.94025,267846282.45461753
120796,271.770586,39.641814,0.0015938219897019038,1200014459643.7312,1912609433.7404265
111945,271.353222,31.17541,0.0015851418600298477,624602351895.3566,990083333.862423
118670,270.559455,37.525213,0.0015633444901187949,96154967799.53383,150323339.10695136
118674,273.228274,37.525213,0.0015591059025441847,241876307472.21973,377110778.66552985
114245,272.55247,33.292011,0.0015565395856287807,1468536946419.345,2285835890.060122
111364,272.340348,30.64626,0.001545250361997402,3226212025504.26,4985305300.290829
117590,273.41715,36.466913,0.0015389529040970083,1380725302165.203,2124871213.5273583
113675,272.226107,32.762861,0.0015339456748221399,377114597524.6249,578473305.7851903
120795,271.08342,39.641814,0.0015317867365114027,1040176292699.865,1593328248.7912557
118134,273.447253,36.996063,0.00152504450502301,561219920452.2,855885355.7950784
119740,270.61186,38.583514,0.0015237011194270448,854107954072.6174,1301405245.73199
119744,273.31955,38.583514,0.001513577434499165,350252425363.4985,530134167.4087943
116490,273.476803,35.408612,0.0015130799623931908,959453569182.8405,1451729970.3771849
116485,270.230645,35.408612,0.0014909019383753542,739570506244.1707,1102627101.324676
113102,271.994447,32.233711,0.0014898364586957557,344580758456.1005,513368976.91293436
120798,273.144917,39.641814,0.0014818827123424115,769151837117.2373,1139792810.5904403
117585,270.127234,36.466913,0.0014696668227201,1397160326631.3809,2053360178.0709188
115375,273.453569,34.350312,0.0014658621493506226,2210992588721.667,3241010348.30184
113673,270.9676,32.762861,0.0014644915776763365,567854409664.6763,831618000.3002864
114242,270.653342,33.292011,0.0014616447880045056,351258235463.7724,513414769.1092823
114246,273.185513,33.292011,0.0014615680257039116,1102278085183.0542,1611054404.7376845
115370,270.24894,34.350312,0.0014603483297591048,328246401241.55615,479354083.80254346
114813,273.44726,33.821161,0.0014503124214566825,938635289282.2423,1361314419.2636225
118129,270.134585,36.996063,0.0014501845028664626,2960384361169.513,4293103523.096261
118132,272.122185,36.996063,0.001444790763591533,286088237084.9175,413337642.51247346
112525,271.649821,31.70456,0.00143194031037166,723523806179.8467,1036042903.5824544
112526,272.271788,31.70456,0.0014302119819601363,322461444299.4231,461188221.357206
117587,271.4432,36.466913,0.0014298197799756571,2324006227824.43,3322910073.3299837
114808,270.262597,33.821161,0.0014209493908482547,150283728788.33218,213545572.87618494
119210,272.247778,38.054363,0.0014174889815875178,271712697161.98578,385149754.38454086
116487,271.529108,35.408612,0.001411688713188176,557110885871.6199,786467149.5792319
110188,271.491001,29.587959,0.00140566940175973,920098185907.245,1293353866.54445
122347,271.957107,41.229265,0.001405226587290701,869737882848.0603,1222178796.9520192
118671,271.22666,37.525213,0.0013993482699871046,2839186687077.7847,3973010978.732717
120794,270.396255,39.641814,0.0013978006458093396,412661783844.3269,576818907.9584342
117589,272.759167,36.466913,0.0013941253421101587,615768073904.7238,858457876.6929365
118669,269.892251,37.525213,0.0013919442657926643,1489783246766.083,2073695247.610027
117038,271.042129,35.937762,0.0013872936615279914,742369636862.3319,1029884691.7299498
115931,271.398212,34.879462,0.0013832850027778107,1289079310761.89,1783164077.968079
112527,272.893755,31.70456,0.0013768619019061058,139510411493.7278,192086570.50495753
113104,273.245571,32.233711,0.001376446323009531,844825967325.9045,1162857596.3087115
115373,272.171717,34.350312,0.0013763625582205348,480193239063.17566,660919994.9571973
122346,271.253523,41.229265,0.0013736854375597026,266605051201.58563,366231476.4154771
116489,272.827572,35.408612,0.0013705696903081005,286420419652.2031,392559145.86063623
115372,271.530792,34.350312,0.0013692140940358174,67266953571.08384,92102860.89238095
120271,271.77613,39.112664,0.0013690279810766694,180589521315.41177,247232107.77004033
115933,272.688261,34.879462,0.0013659977767668707,892101249405.78,1218608323.3392432
119743,272.642627,38.583514,0.001360935012023516,897834985473.3197,1221895066.7502656
122348,272.660691,41.229265,0.0013597010012606871,4477488604755.672,6088045739.019604
119739,269.934937,38.583514,0.0013526693652768371,543266551593.1484,734860021.5196401
116486,270.879877,35.408612,0.0013512246726093318,447440858006.77606,604593126.8722445
119211,272.919777,38.054363,0.0013479940067548002,263383288169.7653,355039093.9322161
119208,270.903778,38.054363,0.0013471072736873022,1577633231094.8064,2125241200.8186142
117586,270.785217,36.466913,0.001345829191265908,2851270138927.1543,3837322585.1529655
117591,274.075133,36.466913,0.0013444031556494615,261567708690.65027,351652452.9797093
114241,270.020299,33.292011,0.0013390435525666108,621505346065.3745,832222726.5345199
109597,272.729112,29.058809,0.0013366175984309144,634029455661.6531,847454928.3609387
