Observation_Time,Tile_Index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:38:04,8380,275.051668,12.190998,0.0007285531187612,23472866741821.58,17101230271.0223,1.7320454369770346,1.9657175512970009,3909,47.569497825267405,48.27249651062582,0.03462746005197964,-11.229364644836107
2023-11-15 02:40:24,8583,277.726222,13.923048,0.0011688777709845,23422374574038.137,27377892983.26684,1.732046399871909,1.8253980864524832,3909,48.444300809303726,49.15363370087923,0.0346917709752127,-11.655825853845927
2023-11-15 02:42:44,10662,276.024214,32.975607,0.0067867703450145,23070726965992.797,156575725610.72644,6.494864506412346,1.5785916822700699,3909,47.092947992127634,47.729186152711584,0.034756141804947516,-12.083127601205733
2023-11-15 02:45:04,8783,275.820452,15.655099,0.0015178000953004,23008974591701.336,34923023828.049774,1.732045189283175,1.912588569168455,3909,47.814247058505686,48.46138171881516,0.0348205725358946,-12.511256675897974
2023-11-15 02:47:24,10664,280.15354,32.975607,0.0012754857360919,22669178735396.285,28914214125.916985,1.732044234986466,1.5040468797492257,3909,48.58892355973925,49.24413647211178,0.03488506317054019,-12.940200046903778
2023-11-15 02:49:44,10487,276.312625,31.243557,0.0051648163606495,21116037842921.668,109060457723.21666,1.732044234986466,1.6401605616337793,3909,49.41445485535064,50.07506355807587,0.03494961369744659,-13.36994486576018
2023-11-15 02:52:04,8784,277.619232,15.655099,0.0010328348648732,20319326253459.45,20986508585.306984,1.732044234986466,1.9104690836518938,3909,50.28832295294505,50.95178905591601,0.03501422411950683,-13.800478456357093
2023-11-15 02:54:24,11777,266.709773,45.099963,0.0021140392768039,19321520254440.344,40846452705.44917,7.711887561614655,1.8054695673404522,3909,48.44589573184947,49.042344363120684,0.03507889442932577,-14.23178831819507
2023-11-15 02:56:44,9374,279.478964,20.851252,0.0010504057742981,18916616610460.406,19870123317.81177,1.732042953064831,1.760994787514304,3909,49.13032624874372,49.73499466560041,0.035143624621240654,-14.663862120371089
2023-11-15 02:59:04,10834,276.372219,34.707658,0.0056706030959423,18728988551654.3,106204660464.88055,1.732042953064831,1.665606689410907,3909,49.868952591899046,50.47920618595452,0.03520841469103153,-15.096687698664999
2023-11-15 03:01:24,10127,276.090027,27.779455,0.0051732771844002,18609314547008.36,96271142363.36534,1.732042953064831,1.7999977183758302,3909,50.65939313053662,51.27271927447196,0.035273264640272584,-15.530253051484525
2023-11-15 03:03:44,10128,278.047704,27.779455,0.0024455313149902,18546375671126.637,45355742483.313034,1.732042953064831,1.749211140860685,3909,51.49925014190533,52.1132665906489,0.03533817446113108,-15.964546340892294
