Observation_Time,Tile_Index,RA,Dec,Tile_Probs,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:11:56,3372,272.172216,33.935467,0.1025600196851953,0.0,1.4754702946259077,1263,50.84566463598978,52.01211078588306,0.03391127180400705,-6.514600479891121
2023-11-15 02:12:28,3466,272.928631,37.033854,0.0915303080321514,3.0983275710428226,1.441072793577339,1263,52.24145911889544,53.370029071012056,0.03392581273321027,-6.609616829938638
2023-11-15 02:13:00,3275,271.067733,30.83708,0.0767498078345887,8.271548606327192,1.5359281239303288,1263,52.00116266777825,53.224605091357304,0.03394035679200519,-6.704686154120147
2023-11-15 02:13:32,3465,269.047302,37.033854,0.0684788563885726,3.0983073856681167,1.5326338034110447,1263,53.090414731364376,54.283656290327386,0.03395490398780182,-6.7998082629186705
2023-11-15 02:14:04,3556,273.557951,40.13224,0.0606369539321022,3.0983073856682344,1.4207291981101995,1263,54.358236946888894,55.517309533856974,0.03396945431256959,-6.894982971178882
2023-11-15 02:14:36,3555,269.505435,40.13224,0.0537259598227134,7.1415912475841905,1.5062792188924012,1263,54.84506171026532,56.07795202843299,0.033984007768899205,-6.990210091755251
2023-11-15 02:15:08,3373,275.906711,33.935467,0.0451463100374072,3.0982818619747774,1.4139336403943903,1263,55.87845513278335,57.08329259852128,0.03399856435982562,-7.085489437890351
2023-11-15 02:15:40,3276,274.676264,30.83708,0.0449198932548156,3.0982827469648155,1.4659319348387163,1263,57.09241929551333,58.265267439530945,0.03401312408113483,-7.1808208253957675
2023-11-15 02:16:12,3174,270.315353,27.738694,0.0425823952544623,3.0982818619747774,1.6147737387778054,1263,58.475640562515665,59.61330181185337,0.03402768693592528,-7.276204068744949
2023-11-15 02:16:44,3175,273.816041,27.738694,0.0402148556675452,9.134420091584381,1.5232074441319443,1263,57.96786978986898,59.20208137079658,0.03404225292092833,-7.371638984630509
2023-11-15 02:17:16,3371,268.437721,33.935467,0.0361476395246221,3.098251530148118,1.601258027059784,1263,59.003399381879824,60.21004402564999,0.034056822039511325,-7.467125388682267
2023-11-15 02:17:48,3642,274.376685,43.230627,0.0352538161209542,3.098252388664491,1.41148473664029,1263,60.21935846293009,61.394744811915565,0.03407139429014333,-7.5626630983447445
2023-11-15 02:18:20,3274,267.459203,30.83708,0.0276340763946023,6.109900557119963,1.6760204471240656,1263,61.17016926800165,62.40424422661308,0.034085969669452154,-7.658251932092286
2023-11-15 02:18:52,3070,270.578912,24.640307,0.0246213995378225,3.0982158133563744,1.6727253488473068,1263,62.227693557477465,63.43456326128314,0.03410054818506364,-7.753891706345769
2023-11-15 02:19:24,3071,273.987692,24.640307,0.023676287151761,3.0982158133563744,1.5743302787423228,1263,63.46593068327585,64.64216022829497,0.03411512982567416,-7.849582242684091
2023-11-15 02:19:56,3173,266.814666,27.738694,0.0176638294309936,9.271869646076428,1.759497658111934,1263,63.397765918217466,64.65710027507305,0.03412971460718894,-7.945323356577717
2023-11-15 02:20:28,3467,276.80996,37.033854,0.015064762994143,3.098172294747557,1.4043439475570556,1263,64.26881897284252,65.50514756627568,0.0341443025145049,-8.041114871789146
2023-11-15 02:21:00,3641,270.124179,43.230627,0.0136985649098154,3.0981714966337854,1.510079332784142,1263,65.33269511477997,66.5421802146093,0.034158893555642666,-8.136956606918485
2023-11-15 02:21:32,3069,267.170132,24.640307,0.012896211189285,3.098171496633903,1.819334815279768,1263,66.57997904559747,67.7593628958916,0.03417348772660189,-8.23284838410298
2023-11-15 02:22:04,2965,275.510125,21.54192,0.0124571928053928,6.493350542602765,1.5944486144727732,1263,67.32381383751866,68.56404434183327,0.03418808502846482,-8.32879002482207
2023-11-15 02:22:36,2964,272.179061,21.54192,0.0117654290825459,3.0981185248896184,1.7034254333565175,1263,68.39006788295147,69.60413363222587,0.03420268546412375,-8.424781350676112
2023-11-15 02:23:08,3464,265.165972,37.033854,0.0094009280390006,3.0981185248896184,1.7049991417695538,1263,69.6442288024762,70.8289985130408,0.03421728903099708,-8.520822185179524
2023-11-15 02:23:40,3723,273.573932,46.329014,0.0086257916161526,6.3887144413299435,1.443686814788465,1263,70.41034117014273,71.65378585334486,0.03423189572773855,-8.616912352136614
2023-11-15 02:24:12,3557,277.610467,40.13224,0.0084432680305995,3.098053225180349,1.39300138972699,1263,71.48996856118336,72.70772611127849,0.03424650555727804,-8.713051674840953
2023-11-15 02:24:44,3176,277.316728,27.738694,0.0084408906302016,3.098052496813154,1.48670250849233,1263,72.76317756090123,73.95225241710888,0.034261118516709044,-8.809239978611505
2023-11-15 02:25:16,3643,278.62919,43.230627,0.0077736516032929,4.739142288229923,1.3709947968899034,1263,74.15515626835011,75.38687982880946,0.034275734608604,-8.90547708796209
