tile_index,RA,Dec,tile_prob
3372,272.172216,33.935467,0.04644060715248513
3466,272.928631,37.033854,0.044244428332751745
3275,271.067733,30.83708,0.03965957750955766
3465,269.047302,37.033854,0.03921143447961906
3556,273.557951,40.13224,0.03731163406221187
3555,269.505435,40.13224,0.03604566640247721
3642,274.376685,43.230627,0.030558153785020595
3373,275.906711,33.935467,0.02883228832802301
3174,270.315353,27.738694,0.028490808985856066
3371,268.437721,33.935467,0.02808501610512232
3276,274.676264,30.83708,0.027528905448937692
3175,273.816041,27.738694,0.025395249842972277
3274,267.459203,30.83708,0.023935869906606524
3070,270.578912,24.640307,0.020761734414273918
3173,266.814666,27.738694,0.019501631488616326
3071,273.987692,24.640307,0.019185628594661004
3641,270.124179,43.230627,0.01827844743035925
3467,276.80996,37.033854,0.016332616865082285
3069,267.170132,24.640307,0.016072171413596133
3723,273.573932,46.329014,0.01572069023117128
3464,265.165972,37.033854,0.01457879342015756
2964,272.179061,21.54192,0.013955218920574643
2965,275.510125,21.54192,0.01316359031392354
3643,278.62919,43.230627,0.013145684769521401
3557,277.610467,40.13224,0.012719143704841193
3273,263.850672,30.83708,0.012051690977053423
2963,268.847997,21.54192,0.011976422586433702
3554,265.45292,40.13224,0.011555133590475997
3722,269.086873,46.329014,0.011279930670132696
3370,264.703226,33.935467,0.011259987754756312
3068,263.761352,24.640307,0.011208532227075315
3172,263.313978,27.738694,0.010708795808388613
3176,277.316728,27.738694,0.01058999330860584
2962,265.516932,21.54192,0.009219324604603084
2856,273.41811,18.443534,0.008801831274324538
3277,278.284795,30.83708,0.008368463093355902
2855,270.151961,18.443534,0.007973922258964225
2854,266.885811,18.443534,0.007353465954672346
3072,277.396472,24.640307,0.007317323575042741
3374,279.641206,33.935467,0.007168970219115691
3800,272.584379,49.4274,0.00672141859521597
3724,278.06099,46.329014,0.006705087263875755
2857,276.68426,18.443534,0.006393399000960965
2966,278.84119,21.54192,0.005978092345554022
2853,263.619662,18.443534,0.005283762039452983
3067,260.352573,24.640307,0.005122509395117273
2746,275.995692,15.345147,0.005034742367876076
2961,262.185868,21.54192,0.004848207362921099
3640,265.871673,43.230627,0.00462733854036089
3171,259.813291,27.738694,0.0043730056075148
3272,260.242141,30.83708,0.004365952592066487
3463,261.284643,37.033854,0.004275301930430854
3644,282.881696,43.230627,0.004212252760871711
2745,272.782762,15.345147,0.004203609566199716
3468,280.691289,37.033854,0.004125994138375766
2744,269.569831,15.345147,0.003802437996403063
3369,260.968731,33.935467,0.0037978920951980263
3799,267.820643,49.4274,0.0037430518513560987
2747,279.208622,15.345147,0.0036978668626686667
3801,277.348116,49.4274,0.003661652633598322
3558,281.662983,40.13224,0.0036538011523491775
2743,266.356901,15.345147,0.0034198310451133093
2852,260.353512,18.443534,0.0027662266912090727
3553,261.400404,40.13224,0.002709372673426718
3721,264.599815,46.329014,0.0025958796087174555
3725,282.548049,46.329014,0.0025293899965469144
2634,276.700393,12.24676,0.0023691834349246045
3177,280.817416,27.738694,0.0022106249665741614
2633,273.529854,12.24676,0.00219295445118032
3872,273.215157,52.525787,0.0021764306199128875
2742,263.143971,15.345147,0.0020144086103330507
2858,279.950409,18.443534,0.001812132950368782
