Observation_Time,Tile_Index,RA,Dec,Tile_Probs,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:24:04,10831,270.051388,34.707658,0.0144139833649341,4.840362609381224,1.5955610930789004,3908,48.63784172508261,48.51992263247017,0.03424285280334255,-8.689012246107307
2023-11-15 02:26:24,10660,271.894887,32.975607,0.0142823963250518,1.732044234986466,1.5796442965458395,3909,48.58892355973925,49.309278088404405,0.03430680419828036,-9.11014220177731
2023-11-15 02:28:44,11000,273.185614,36.439709,0.0141384466948273,1.732044234986466,1.5294669256016131,3909,49.41445485535064,50.14653866945946,0.03437081552064092,-9.532195961588172
2023-11-15 02:31:04,11324,273.010942,39.903811,0.0135475306942168,1.732044234986466,1.5216638432609173,3909,50.28832295294505,51.02932918179648,0.034434886774369344,-9.955159154665868
2023-11-15 02:33:24,11323,270.753088,39.903811,0.0134983745974538,6.028522302140072,1.590277252873097,3909,49.13032624874372,49.79349573784431,0.03449901794933741,-10.379017614393774
2023-11-15 02:35:44,10485,272.260903,31.243557,0.0126649595774343,1.732042953064831,1.6566968496285992,3909,49.868952591899046,50.54507072375469,0.034563209043865784,-10.803757369644673
2023-11-15 02:38:04,10659,269.830224,32.975607,0.0125285221580892,1.732042953064831,1.7295535048177038,3909,50.65939313053662,51.34567165632801,0.03462746005197964,-11.229364644836107
2023-11-15 02:40:24,11479,270.667721,41.635861,0.0121995143022625,1.732042953064831,1.6233653807792352,3909,51.49925014190533,52.193027157708016,0.0346917709752127,-11.655825853845927
2023-11-15 02:42:44,11480,272.98521,41.635861,0.0121250244075982,9.00941515564456,1.5792962936453854,3909,49.36964649629457,49.9622934199992,0.034756141804947516,-12.083127601205733
2023-11-15 02:45:04,10484,270.235042,31.243557,0.0117976603391897,1.7320405584763228,1.8050377039421737,3909,49.975033076734505,50.58231241890585,0.0348205725358946,-12.511256675897974
2023-11-15 02:47:24,10661,273.95955,32.975607,0.0117747331879681,1.732041492968529,1.6717609048729,3909,50.63705288606247,51.25619985884001,0.03488506317054019,-12.940200046903778
2023-11-15 02:49:44,10306,271.048809,29.511506,0.011759931014575,1.732041492968529,1.850627673518968,3909,51.35350596377603,51.981847767126744,0.03494961369744659,-13.36994486576018
2023-11-15 02:52:04,10998,268.879613,36.439709,0.0116802795782252,1.7320414929683186,1.8342834444291192,3909,52.122137428486674,52.75710694002225,0.03501422411950683,-13.800478456357093
2023-11-15 02:54:24,10833,274.265276,34.707658,0.0110139437535983,1.7320405584763228,1.6945749059124986,3909,52.940663130422045,53.5798092855612,0.03507889442932577,-14.23178831819507
2023-11-15 02:56:44,11165,274.429068,38.17176,0.0109510299624103,1.732041492968529,1.666111968320652,3909,53.8067951453898,54.44779025190332,0.035143624621240654,-14.663862120371089
2023-11-15 02:59:04,10307,273.039084,29.511506,0.0105820674791895,12.076017701690851,1.8647541077756142,3909,50.50660049847781,51.053368480322234,0.03520841469103153,-15.096687698664999
2023-11-15 03:01:24,10125,272.174674,27.779455,0.0096632889285799,1.7320394251017435,1.965944481600232,3909,51.04387432840252,51.6018051761693,0.035273264640272584,-15.530253051484525
2023-11-15 03:03:44,11632,273.576429,43.367912,0.0091391081047824,1.7320394251017435,1.6877301924831705,3909,51.639517727779435,52.206032448016835,0.03533817446113108,-15.964546340892294
2023-11-15 03:06:04,10486,274.286764,31.243557,0.0091132829632238,1.7320394251017435,1.851851117511726,3909,52.29152768086213,52.86412594874299,0.035403144147896026,-16.39955588671504
2023-11-15 03:08:24,11631,271.193832,43.367912,0.0090680397513667,1.7320394251017435,1.7956864956229954,3909,52.997814631667836,53.57408855372709,0.035468173697988936,-16.835270163464347
2023-11-15 03:10:44,11001,275.338614,36.439709,0.0087232712060145,1.7320394251017435,1.7702963779833436,3909,53.756229211026934,54.333874176942274,0.035533263108304236,-17.271677798291005
2023-11-15 03:13:04,11325,275.268797,39.903811,0.0085970068485652,1.7320394251017435,1.74538872954704,3909,54.564587043752354,55.141409770165886,0.03559841237331324,-17.708767568890156
2023-11-15 03:15:24,11481,275.302699,41.635861,0.0079466520300423,10.08880541775942,1.7417428144616898,3909,52.27503323485763,52.80141558772388,0.03566362149023811,-18.146528399131675
2023-11-15 03:17:44,11779,271.617322,45.099963,0.0074405321871543,1.7320373484757745,1.8362432271797722,3909,52.81354647990304,53.345518017119964,0.03572889045611599,-18.584949357118244
2023-11-15 03:20:04,11630,268.811236,43.367912,0.0069300537646254,1.7320373484757745,1.990301473178549,3909,53.40985782923335,53.94505854631539,0.035794219263276195,-19.024019653575568
2023-11-15 03:22:24,10662,276.024214,32.975607,0.0067867703450145,1.7320373484757745,1.9152732452936776,3909,54.06204601219463,54.59819957765081,0.03585960791083098,-19.463728636155828
2023-11-15 03:24:44,10834,276.372219,34.707658,0.0056706030959423,1.7320373484757745,1.8914510416789672,3909,54.76810531706693,55.30302992739032,0.035925056392247634,-19.904065789790963
2023-11-15 03:27:04,11780,274.071096,45.099963,0.0056087926722229,1.7320373484757745,1.8323434229162803,3909,55.52597034902711,56.057587038916395,0.03599056470606771,-20.345020731396254
2023-11-15 03:29:24,11166,276.632242,38.17176,0.0050935220539239,1.7320373484757745,1.8658304972724347,3909,56.33353912380589,56.85987765122844,0.03605613284837955,-20.786583208929393
2023-11-15 03:31:44,11633,275.959025,43.367912,0.0048135739571444,1.7320373484757745,1.8317086486191225,3909,57.18869413164383,57.707896623523496,0.036121760807596714,-21.228743100166984
2023-11-15 03:34:04,11002,277.491615,36.439709,0.0045442531560108,13.778957739416901,1.9087090618942726,3909,53.491227268358784,53.99180457624455,0.03618744858879602,-21.671490403590596
2023-11-15 03:36:24,11923,272.425081,46.832014,0.004390867698619,1.7320353243217974,1.9465558878226668,3909,53.96297342125239,54.464744539695566,0.036253196181821434,-22.11481524420111
2023-11-15 03:38:44,11326,277.526651,39.903811,0.0042906664516513,1.732034425915155,1.8918941683728236,3909,54.49409931534944,54.99484578895155,0.036319003588721754,-22.558707863476943
2023-11-15 03:41:04,11482,277.620189,41.635861,0.0041934955027239,1.7320353243215867,1.881805154218117,3909,55.08287941130735,55.58046263780295,0.03638487079980057,-23.003158623085852
2023-11-15 03:43:24,11781,276.524871,45.099963,0.0037161666205667,1.7320353243217974,1.888782706216749,3909,55.72747671721658,56.219848435196766,0.03645079781253924,-23.448157997417592
2023-11-15 03:45:44,11924,274.956802,46.832014,0.003197532442953,1.732034425915155,1.9393535242137951,3909,56.42596770037064,56.9111781655895,0.03651678461844149,-23.893696574214708
2023-11-15 03:48:04,11634,278.341622,43.367912,0.0027111612740729,1.7320353243217974,1.8922497892118435,3909,57.176366804892375,57.652570705058935,0.03658283122299816,-24.339765046770527
2023-11-15 03:50:24,11167,278.835416,38.17176,0.0025694154166055,1.7320353243215867,1.9910438961037173,3909,57.976646183557385,58.44210644424153,0.03664893761605498,-24.786354219138737
2023-11-15 03:52:44,11483,279.937678,41.635861,0.0020282843210513,1.732034425915155,1.904564492489056,3909,58.8247568226562,59.27784647872483,0.03671510379050241,-25.23345499845591
