tile_index,RA,Dec,tile_prob
690,269.368102,33.401783,0.1682204772752655
731,268.570759,40.257437,0.1283264978513785
646,268.689714,26.546128,0.10433790522335255
732,277.55414,40.257437,0.08357408119691334
691,277.580132,33.401783,0.07794367338401328
647,276.353304,26.546128,0.07244949884882804
599,274.822955,19.690474,0.04789585786934047
768,268.940757,47.113092,0.04699877019768593
598,267.541531,19.690474,0.042431171431272514
645,261.026124,26.546128,0.029447489083923882
689,261.156073,33.401783,0.028956312422241753
769,279.014403,47.113092,0.026358365130987327
597,260.260107,19.690474,0.014688467866306624
549,271.247349,12.834819,0.011682418911766718
550,278.278684,12.834819,0.010446073565350916
548,264.216013,12.834819,0.008792441090408748
