Observation_Time,Tile_Index,RA,Dec,Tile_Probs,Slew Angle (deg),Air_Mass,Lunar-tile,Lunar-tile separation (deg),Lunar separation (deg),Lunar_Illumination,Lunar_altitude
2023-11-15 02:16:32,32534,272.019318,35.0,0.0126518919632676,0.0,1.4966395978880978,11651,57.5582749008681,57.74675027232541,0.03403679030845019,-7.335844847770202
2023-11-15 02:21:35,33115,272.193746,37.0,0.0125685188013458,0.9999963668103102,1.5064056917687367,11651,57.94412369074828,58.11987156117998,0.03417485609122167,-8.241840797328972
2023-11-15 02:26:38,32239,272.596055,34.0,0.0124987978430084,0.9999963668099456,1.5525396374421183,11651,58.34772447835829,58.50900329450382,0.03431320263570281,-9.152306244776671
2023-11-15 02:31:41,31939,271.68447,33.0,0.0121071822466398,3.0670256876111233,1.6219606559449733,11651,58.15533395508603,58.325054481910634,0.034451829901575914,-10.06709242925888
2023-11-15 02:36:44,33116,273.445882,37.0,0.0120427351332445,0.9999960406778666,1.5677870469002861,11651,58.5209957397547,58.67662420453142,0.034590737853641806,-10.986055057224771
2023-11-15 02:41:47,32826,271.879043,36.0,0.012019780019935,0.9999960406778666,1.6553229443833266,11651,58.904811580104564,59.04462414086111,0.0347299264535873,-11.909054153583652
2023-11-15 02:46:50,33400,272.313153,38.0,0.0119304054538067,1.8716975397982853,1.6574085369182898,11651,59.235136404595494,59.38211531494256,0.03486939565270636,-12.835953914749261
2023-11-15 02:51:53,32827,273.115111,36.0,0.0119302430596526,0.999995302834517,1.6944670283321999,11651,59.60475127685643,59.735121270318885,0.03500914541947653,-13.766622554966727
2023-11-15 02:56:56,32238,271.389837,34.0,0.0112592393435315,0.9999961688488914,1.8263714738304693,11651,59.99246132507402,60.10455679191291,0.035149175706839564,-14.700932170268779
2023-11-15 03:01:59,32533,270.798544,35.0,0.0109702261857359,3.3205264417548017,1.881081561752316,11651,59.763394546663356,59.90480689789482,0.03528948648226937,-15.638758588843906
2023-11-15 03:07:02,33682,273.304648,39.0,0.010735600401789,0.9999950770127467,1.7720382541299728,11652,59.77893551936037,60.23152337925898,0.03543007769639911,-16.57998123902245
2023-11-15 03:12:05,32535,273.240093,35.0,0.0106053076282685,0.9999959341681516,1.8845958797084221,11652,60.12432703499988,60.57516123040917,0.03557094931556071,-17.52448300351742
2023-11-15 03:17:08,33114,270.94161,37.0,0.0105465334326301,0.9999950770127467,1.996527248942721,11652,60.488287052100475,60.935429406754665,0.035712101292691645,-18.472150091332132
2023-11-15 03:22:11,33401,273.582171,38.0,0.0100884321250528,0.9999959341681516,1.9177847748847598,11652,60.8704801330735,61.31203109208379,0.035853533589836506,-19.42287189852693
2023-11-15 03:27:14,32828,274.351179,36.0,0.0095951439614868,3.9284346771555376,1.9784614227642152,11652,60.457738845789606,60.87963644920264,0.03599524616172528,-20.376540880863793
2023-11-15 03:32:17,33959,273.486336,40.0,0.0080208942239845,0.9999947018978174,1.988860808295867,11652,60.784662204565436,61.20258202290352,0.0361372389697,-21.333052420382657
2023-11-15 03:37:20,34501,273.807407,42.0,0.0045130457215102,0.9999955499334038,1.9890059019152868,11652,61.13051086356216,61.542552376887976,0.03627951196982504,-22.292304700204
2023-11-15 03:42:23,34766,274.726232,43.0,0.0030420905193407,0.9999947018978174,1.983923759468149,11652,61.494961784095125,61.89926207002696,0.036422065118436764,-23.25419857600466
2023-11-15 03:47:26,34767,276.09356,43.0,0.0014450154057504,0.9999955499334038,1.9797004315046662,11652,61.877683559192064,62.27241958574429,0.036564898375700816,-24.218637449407478
2023-11-16 02:20:50,33399,271.044135,38.0,0.0102605701292462,4.6003522733366164,1.5446470635495526,11021,61.08092172714665,61.0777478164907,0.08475243872290283,0.9448407443254883
2023-11-16 02:25:53,33681,272.017888,39.0,0.0096836677156289,0.9999952401478444,1.5439471165527248,11021,61.14962537342892,61.14303336760624,0.08496832436421148,0.1179996497911955
2023-11-16 02:30:56,31940,272.876833,33.0,0.009591006776279,0.99999440149093,1.6107048693988657,11021,61.239180745569506,61.22730024460414,0.08518447026507081,-0.7154513880732761
2023-11-16 02:35:59,33958,272.180929,40.0,0.0093684829702242,0.99999440149093,1.5947012084622407,11021,61.34949571702508,61.33046878615786,0.08540087634201482,-1.5553083813020718
2023-11-16 02:41:02,31636,271.087069,32.0,0.0093270529117203,0.9999952401478444,1.760530584347325,11021,61.480457599565476,61.45244228302653,0.08561754248348324,-2.4013731199515025
2023-11-16 02:46:05,31638,273.445426,32.0,0.0091231690356697,0.99999440149093,1.7228834728871103,11021,61.63193329842124,61.593107029150616,0.08583446858466709,-3.253453041979776
2023-11-16 02:51:08,31637,272.266248,32.0,0.009121053543909,5.333894979475371,1.809773662376873,11021,62.064567794202745,62.06942507247143,0.08605165454128594,-4.11136110593869
2023-11-16 02:56:11,32240,273.802273,34.0,0.0091007128034035,0.9999942679723146,1.7674989662559977,11021,62.12715039920238,62.12338629311929,0.08626910024633028,-4.974915661146828
2023-11-16 03:01:14,31330,270.86402,31.0,0.0088969923610136,0.9999942679723146,1.996332685680454,11022,62.13164992431355,62.1964213685598,0.08648680560425631,-5.843940312493378
2023-11-16 03:06:17,33680,270.731128,39.0,0.0085125894105397,0.9999942679723146,1.894060221390534,11022,62.2164277033058,62.288461815230605,0.0867047705002379,-6.718263791659949
2023-11-16 03:11:20,31941,274.069197,33.0,0.0081144559654708,0.9999942679723146,1.9219965706689237,11022,62.32203501472958,62.39942196770284,0.08692299482872284,-7.597719817462245
2023-11-16 03:16:23,33957,270.875522,40.0,0.0080329205511635,0.9999942679723146,1.9724275955528776,11022,62.44836506022464,62.529199364404896,0.08714147848859388,-8.482146961339147
2023-11-16 03:21:26,33117,274.698017,37.0,0.0076265716465307,4.585297653761645,1.9234448651589795,11022,63.042714689950124,63.09729781730792,0.08736022137217375,-9.371388514046648
2023-11-16 03:26:29,34231,272.487386,41.0,0.0072065901569726,0.9999941137224829,1.9914521298304069,11022,63.09569049888294,63.15533014147421,0.0875792233697294,-10.265292350190592
2023-11-16 03:31:32,33683,274.591407,39.0,0.0062006881181351,0.9999932945857474,1.9959951972672736,11022,63.16968127910038,63.23249499532367,0.08779848438177285,-11.163710791752912
2023-11-16 03:36:35,33684,275.878167,39.0,0.0031952383262888,0.9999941137224829,1.9950085607931203,11022,63.26461254279102,63.328721103950166,0.0880180042972672,-12.066500478932367
2023-11-16 03:41:38,34234,276.462425,41.0,0.0017557645958953,0.9999932945857474,1.983730490073373,11022,63.38038891799552,63.443919915114684,0.08823778301073171,-12.973522235214883
2023-11-17 02:20:05,31938,270.492107,33.0,0.0085997138899258,3.264829819551157,1.6293768993010327,11035,64.86441753215036,64.91814471577445,0.15635833145062128,10.355059015183532
2023-11-17 02:25:08,32825,270.642975,36.0,0.008244935011771,0.999993318154484,1.6275416235111817,11035,64.68514570631503,64.74514915094386,0.1566433715167901,9.633353234547155
2023-11-17 02:30:11,31331,272.030654,31.0,0.0080877174881372,0.999993318154484,1.6853788819004727,11035,64.52639021295504,64.59083553648843,0.1569286336615366,8.901941429270417
2023-11-17 02:35:14,32237,270.183619,34.0,0.0080264358793982,0.999993318154484,1.745294192532487,11035,64.3883049225307,64.45534029241625,0.15721411772448046,8.161104931882436
2023-11-17 02:40:17,31021,272.217807,30.0,0.0079756375644107,0.999993318154484,1.781325762674314,11035,64.27102490066213,64.3387843272108,0.15749982355565917,7.411118646154813
2023-11-17 02:45:20,31332,273.197287,31.0,0.0079755156783609,4.844399901439447,1.774924955778064,11035,65.99552260033624,66.07847913024683,0.1577857509840458,6.6522510175154554
2023-11-17 02:50:23,31020,271.063107,30.0,0.0074764861620299,0.9999922668854402,1.930269597860804,11035,65.80219410784069,65.88752115362215,0.15807189984306913,5.884764032182072
2023-11-17 02:55:26,31022,273.372508,30.0,0.0074576083591502,0.9999930655039277,1.8851500018323704,11035,65.62937371328127,65.71522844373882,0.15835826997529073,5.108913232308938
2023-11-17 03:00:29,34230,271.162373,41.0,0.0073727959346922,0.9999930655039277,1.8287796608954041,11035,65.47722654864299,65.56175102427905,0.15864486121024668,4.324947744592537
2023-11-17 03:05:32,33398,269.775117,38.0,0.0073519300830215,0.9999922668854402,1.9856705314729326,11035,65.34589938078874,65.42722385714609,0.1589316733874831,3.5331103301996443
2023-11-17 03:10:35,32536,274.460867,35.0,0.006763827758707,4.031024014420807,1.8997554727461274,11035,66.96116368221806,67.07274545359456,0.15921870635002633,2.733637444140556
2023-11-17 03:15:38,34232,273.812399,41.0,0.0060032647788689,0.9999920827784206,1.8700577248086234,11035,66.77080195547407,66.8801287240792,0.15950595992029942,1.9267593046959461
2023-11-17 03:20:41,34500,272.461774,42.0,0.0058994300087364,0.9999920827784206,1.9539281696335622,11036,66.75156090173904,66.70630994098126,0.1597934339449636,1.1126999823128936
2023-11-17 03:25:44,32829,275.587247,36.0,0.0055331638748764,0.9999920827784206,1.9945065668515918,11036,66.58409028419878,66.55143940014223,0.1600811282547736,0.2916774864986591
2023-11-17 03:30:47,34233,275.137412,41.0,0.0029740015837147,0.9999928707708354,1.9667202687109018,11036,66.43745672123765,66.41565227195784,0.16036904268840402,-0.5360961305222419
2023-11-17 03:35:50,34502,275.15304,42.0,0.0024509580608086,4.347236519926374,1.9994422584405913,11036,68.18082574936257,68.13480629995283,0.16065717706472138,-1.3704146704768674
2023-11-17 03:40:53,34503,276.498672,42.0,0.0011719714090883,0.9999912369581584,1.995999531984763,11036,67.96850518655154,67.93411809270299,0.16094553124191102,-2.2110776675636568
2023-11-18 02:19:20,32532,269.577769,35.0,0.0074397463677234,0.99999201408445,1.6560726241640986,11693,69.27030168841766,69.49299656162957,0.24591239971712658,19.717722705225416
2023-11-18 02:24:23,31329,269.697387,31.0,0.0067533655765335,0.99999201408445,1.7478135830139163,11693,68.86402370335759,69.10218172995594,0.24625346373463197,19.12804706329041
