tile_index,RA,Dec,tile_prob
115932,272.043236,34.879462,0.044215388997716445
117039,271.695679,35.937762,0.04351574778769379
117040,272.34923,35.937762,0.04168656834830639
115373,272.171717,34.350312,0.03329565153912721
114811,272.173395,33.821161,0.03323202681680226
116488,272.17834,35.408612,0.030822077863340413
115933,272.688261,34.879462,0.028085162455439874
116487,271.529108,35.408612,0.027479336592316495
117588,272.101183,36.466913,0.02679425421464057
118132,272.122185,36.996063,0.025937446188938756
114810,271.536462,33.821161,0.025684839233058126
116489,272.827572,35.408612,0.025158010233606462
114245,272.55247,33.292011,0.02318780954133232
115372,271.530792,34.350312,0.022347766744321963
115374,272.812643,34.350312,0.02164039770055308
117589,272.759167,36.466913,0.02129934916696178
117587,271.4432,36.466913,0.02105705844093219
115931,271.398212,34.879462,0.02065586941748574
118672,271.893865,37.525213,0.020135468259052387
118133,272.784719,36.996063,0.019933010042197823
118131,271.459652,36.996063,0.01988084063647556
113675,272.226107,32.762861,0.018762541011852887
118673,272.561069,37.525213,0.016907060872136108
114244,271.919427,33.292011,0.016428671861711562
114812,272.810327,33.821161,0.01475746945225695
117041,273.00278,35.937762,0.01360194277127691
113102,271.994447,32.233711,0.012509510714963333
117038,271.042129,35.937762,0.012406748024462257
119210,272.247778,38.054363,0.011198731055250094
113674,271.596853,32.762861,0.010791134115515771
113676,272.85536,32.762861,0.01004865368160945
114243,271.286385,33.292011,0.009943586420558738
114246,273.185513,33.292011,0.009745326674472992
116486,270.879877,35.408612,0.00885270366357525
112526,272.271788,31.70456,0.008345379390596212
116490,273.476803,35.408612,0.008225715276918814
118671,271.22666,37.525213,0.007948059623512279
119742,271.965705,38.583514,0.007878200274862177
113103,272.620009,32.233711,0.00759421507581568
115934,273.333285,34.879462,0.007529288597754993
114813,273.44726,33.821161,0.007496215993869888
115375,273.453569,34.350312,0.007401132685031356
117590,273.41715,36.466913,0.007306830848217421
119209,271.575778,38.054363,0.006578324402703967
115930,270.753187,34.879462,0.006289125118342194
112525,271.649821,31.70456,0.005921917845165515
114809,270.899529,33.821161,0.005866076525580386
112527,272.893755,31.70456,0.005779227546905678
119211,272.919777,38.054363,0.005752604851333882
113101,271.368885,32.233711,0.005729387806176621
115371,270.889866,34.350312,0.005636502328811859
117586,270.785217,36.466913,0.0053020118059170646
113104,273.245571,32.233711,0.005234379419321207
118674,273.228274,37.525213,0.005193100007788189
118130,270.797118,36.996063,0.0049772525499112985
119743,272.642627,38.583514,0.0048730460834893775
118134,273.447253,36.996063,0.004839039425787278
113673,270.9676,32.762861,0.004441578317268584
111947,272.590152,31.17541,0.004200181341403481
119741,271.288782,38.583514,0.004043898988911959
