site_names,bns_100Mpc_dt_days,bns_100Mpc_source_tile_rank,bns_200Mpc_dt_days,bns_200Mpc_source_tile_rank,bns_150Mpc_dt_days,bns_150Mpc_source_tile_rank,bns_50Mpc_dt_days,bns_50Mpc_source_tile_rank
Roman,0.8483796296296295,24.0,1.8570601851851851,135.0,0.8738425925925926,68.0,0.8379629629629629,6.0
WINTER,0.8380555555555556,1.0,0.8590972222222222,7.0,0.8380555555555556,1.0,0.8380555555555556,1.0
DECam,0.8368055555555555,1.0,0.8368055555555555,1.0,0.8368055555555555,1.0,0.8368055555555555,1.0
Rubin,0.834861111111111,1.0,0.834861111111111,1.0,0.834861111111111,1.0,0.834861111111111,1.0
ZTF,0.8350694444444444,1.0,0.8350694444444444,1.0,0.8350694444444444,1.0,0.8350694444444444,1.0
