site_names,bns_100Mpc_dt_days,bns_100Mpc_source_tile_rank,bns_150Mpc_dt_days,bns_150Mpc_source_tile_rank,bns_200Mpc_dt_days,bns_200Mpc_source_tile_rank,bns_50Mpc_dt_days,bns_50Mpc_source_tile_rank
Roman,N/A,N/A,N/A,N/A,N/A,8159.0,N/A,N/A
WINTER,0.8801388888888888,22.0,7.855451388888889,169.0,N/A,576.0,N/A,N/A
DECam,0.8578703703703703,22.0,1.8754629629629629,169.0,3.871759259259259,576.0,N/A,N/A
Rubin,0.8363425925925926,5.0,0.8370833333333333,7.0,0.8411574074074074,19.0,N/A,N/A
ZTF,0.8350694444444444,1.0,0.8373842592592592,5.0,0.8408564814814814,19.0,N/A,N/A
